Result: Draw by threefold repetition

1: b1c3
2: d5d4
3: c3a4
4: e7e5
5: f3e5
6: c6c5
7: e2e3
8: d4d3
9: e5f3
10: b8a6
11: b2c3
12: a6b4
13: c3b4
14: c5b4
15: f3d4
16: f5e4
17: f2f3
18: e4g6
19: c4c5
20: d8d7
21: e1f2
22: f8e7
23: d1c1
24: e8g8
25: g2g3
26: a8c8
27: c1c4
28: b7b6
29: c5c6
30: d7d8
31: c4b5
32: h7h5
33: h1g1
34: f6h7
35: b5c4
36: h7g5
37: f1g2
38: d8e8
39: a4b2
40: g5e6
41: f3f4
42: e6c5
43: b2a4
44: c5e4
45: g2e4
46: g6e4
47: a1c1
48: e7d6
49: c4b5
50: f7f6
51: b5a6
52: c8c7
53: a6b5
54: d6e7
55: b5a6
56: e8c8
57: a6c8
58: f8c8
59: a4b2
60: e7f8
61: c1c4
62: e4d5
63: c4c1
64: d5e4
65: c1c4
66: e4d5
67: c4c1
