Result: Draw by threefold repetition

1: a2a3
2: b4c3
3: b5c6
4: c3a5
5: b2b4
6: b7c6
7: d2d3
8: a5b6
9: c1g5
10: h8g8
11: e1g1
12: e8e7
13: c2c4
14: d7d6
15: c4c5
16: h7h6
17: g5e3
18: g8e8
19: d1c2
20: c8g4
21: h2h3
22: g4f3
23: c5b6
24: c7b6
25: c2c6
26: f3e4
27: c6b5
28: e4d3
29: b5d3
30: e7f8
31: f2f4
32: e5f4
33: e3d4
34: f6e4
35: a1e1
36: e4g3
37: d3c3
38: g3f1
39: d4g7
40: f8g8
41: g7h6
42: e8e5
43: e1e5
44: d6e5
45: c3e5
46: f7f6
47: e5e4
48: g8f7
49: e4h7
50: f7e6
51: h7e4
52: e6f7
53: e4h7
54: f7e6
55: h7e4
