Result: Draw by threefold repetition

1: c3a4
2: c5d4
3: c2c3
4: d4b6
5: g1e2
6: b6a5
7: b2b4
8: a5b6
9: c4b3
10: a7a6
11: e1g1
12: e8g8
13: c1g5
14: b6a7
15: g1h1
16: h7h6
17: g5f6
18: d8f6
19: f2f4
20: f6d8
21: e2g3
22: b8d7
23: d3d4
24: b7b5
25: b3d5
26: a8b8
27: a4b2
28: e5d4
29: c3d4
30: d7f6
31: a1c1
32: f6d5
33: d1d2
34: d5b4
35: a2a3
36: b4a2
37: c1a1
38: g8h8
39: f4f5
40: h8h7
41: f5f6
42: g7f6
43: g3f5
44: c8f5
45: f1f5
46: f8g8
47: f5f4
48: c7c5
49: b2d3
50: g8g7
51: f4h4
52: g7g5
53: d3f4
54: f6f5
55: f4h3
56: g5g6
57: d2f4
58: f5e4
59: f4f7
60: g6g7
61: f7f4
62: g7g6
63: f4f7
64: g6g7
65: f7f4
66: g7g6
