Result: Draw by threefold repetition

1: b1c3
2: c7c5
3: f1c4
4: b8c6
5: e1g1
6: a7a6
7: d4d5
8: c6a5
9: d5e6
10: d8d1
11: e6f7
12: e8e7
13: f1d1
14: a5c4
15: b2b3
16: c4d6
17: c1a3
18: b7b6
19: c3a4
20: f6d7
21: a4b6
22: d7b6
23: a3c5
24: e7e6
25: c5b6
26: d6f7
27: a1c1
28: e6e7
29: b6c5
30: e7e8
31: c5f8
32: h8f8
33: c1c4
34: e8e7
35: c4h4
36: g7g5
37: h4h7
38: g5g4
39: f3d4
40: c8d7
41: h7h5
42: a8c8
43: h5a5
44: c8a8
45: a2a4
46: f8h8
47: f2f4
48: g4f3
49: d4f3
50: d7e6
51: f3d4
52: e6g4
53: d1c1
54: h8g8
55: a5c5
56: g4h3
57: c1c2
58: a8c8
59: c5c8
60: h3c8
61: c2c7
62: e7f6
63: g1f2
64: f7e5
65: h2h3
66: e5d7
67: c7c2
68: f6e5
69: d4c6
70: e5d6
71: c6a5
72: d7c5
73: c2d2
74: d6e5
75: a5c6
76: e5f6
77: d2d4
78: f6e6
79: c6d8
80: e6e7
81: d8c6
82: e7e6
83: c6d8
84: e6f6
85: d8c6
