Result: Black wins by checkmate

1: g1f3
2: c8g4
3: d1b3
4: e8g8
5: b3b7
6: b8d7
7: h2h3
8: g4f3
9: g2f3
10: f6h5
11: c3b5
12: c7c5
13: d4c5
14: d7c5
15: b7c7
16: a7a6
17: c7d8
18: a8d8
19: b5c3
20: g7c3
21: b2c3
22: d8b8
23: c1h6
24: f8c8
25: a1d1
26: c5a4
27: h6d2
28: a4b2
29: d1b1
30: b2a4
31: b1b4
32: a4c5
33: d2g5
34: g8f8
35: b4b8
36: c8b8
37: g5e3
38: b8b2
39: e3c5
40: d6c5
41: a2a3
42: h5f4
43: a3a4
44: b2a2
45: e4e5
46: a6a5
47: h1h2
48: a2a1
49: e1d2
50: a1f1
51: d2e3
52: g6g5
53: e3e4
54: f1e1
55: e4f5
56: h7h6
57: f5g4
58: e1g1
59: h2g2
60: g1g2
61: g4f5
62: g2f2
63: h3h4
64: e7e6
65: f5e4
66: f2e2
