Result: White wins by checkmate

1: c1e3
2: g8f6
3: f2f3
4: e7e5
5: d4b3
6: f6e4
7: f3e4
8: d8h4
9: e3f2
10: h4e4
11: d1e2
12: c8f5
13: b1c3
14: e4e2
15: f1e2
16: f5c2
17: a1c1
18: c2b3
19: a2b3
20: b8c6
21: c1d1
22: f8e7
23: g2g4
24: h7h5
25: g4h5
26: g6h5
27: e1g1
28: h5h4
29: c3b5
30: a8d8
31: g1h1
32: a7a6
33: b5c3
34: h8g8
35: f2b6
36: d8c8
37: c3d5
38: g8g7
39: h2h3
40: c6d8
41: b6c7
42: d8e6
43: d5f6
44: e7f6
45: c7d6
46: e6f4
47: e2f3
48: c8c2
49: f3e4
50: c2b2
51: e4b7
52: b2b3
53: b7c6
54: e8d8
55: d6e5
56: d8e7
57: e5d6
58: e7e6
59: d6f4
60: b3h3
61: f4h2
62: h3e3
63: d1d6
64: e6e7
65: d6f6
66: e3e6
67: f6e6
68: f7e6
69: f1d1
70: g7g1
71: h1g1
72: e7f6
73: g1f1
74: f6f5
75: d1a1
76: h4h3
77: a1a5
78: f5g6
79: c6e4
80: g6f6
81: h2e5
82: f6f7
83: a5a6
84: f7e7
85: a6a7
86: e7e8
87: e5d6
88: e8d8
89: e4c6
90: e6e5
91: a7a8
