Result: Draw by threefold repetition

1: d4b3
2: c5e7
3: c1f4
4: e7f6
5: e4e5
6: f6e5
7: f4e5
8: c6e5
9: d1h5
10: d8e7
11: h5e2
12: g8h6
13: b1c3
14: c7c6
15: e1c1
16: e5g6
17: d1d4
18: e7e2
19: f1e2
20: d7d5
21: a2a4
22: e8g8
23: d4d3
24: h6f5
25: g2g4
26: f5h6
27: g4g5
28: h6g4
29: f2f3
30: g4e5
31: c1d2
32: e5d3
33: h1b1
34: d3b2
35: b3a5
36: b2a4
37: c3a4
38: g8h8
39: a5b7
40: c8b7
41: b1b7
42: f7f6
43: b7c7
44: f6g5
45: a4c5
46: h8g8
47: c5e6
48: f8e8
49: c7c6
50: e8e6
51: e2c4
52: e6c6
53: c4d5
54: c6e6
55: d5e6
56: g8f8
57: e6d5
58: a8d8
59: c2c4
60: d8d5
61: c4d5
62: f8e7
63: d2e3
64: e7d6
65: h2h4
66: g5h4
67: f3f4
68: d6d5
69: e3f3
70: g6f4
71: f3f4
72: g7g5
73: f4g5
74: h7h6
75: g5h4
76: d5e4
77: h4h5
78: a7a5
79: h5h6
80: e4d3
81: h6g6
82: d3c3
83: g6f5
84: c3b3
85: f5e5
86: a5a4
87: e5d5
88: a4a3
89: d5d4
90: b3b2
91: d4e5
92: b2c3
93: e5d5
94: c3d3
95: d5e5
96: d3c4
97: e5e4
98: c4c3
99: e4d5
100: c3d3
101: d5e5
102: d3c4
103: e5e4
104: c4c3
