Result: Draw by threefold repetition

1: e2e4
2: d5c3
3: b2c3
4: c8e6
5: d4d5
6: e6d7
7: a1b1
8: b7b6
9: d1d4
10: h8g8
11: g1f3
12: e7e6
13: c1g5
14: f8c5
15: g5d8
16: c5d4
17: f3d4
18: e8d8
19: f1c4
20: e6e5
21: d4f3
22: g8e8
23: f3g5
24: e8f8
25: g5h7
26: f8g8
27: h7f6
28: g8h8
29: f6d7
30: d8d7
31: b1d1
32: d7d6
33: e1d2
34: d6c5
35: c4b3
36: b6b5
37: d5d6
38: b8a6
39: d6c7
40: a6c7
41: d2e3
42: f7f6
43: b3f7
44: a8d8
45: d1d8
46: h8d8
47: h2h4
48: f6f5
49: g2g3
50: d8d6
51: h4h5
52: f5f4
53: g3f4
54: e5f4
55: e3f4
56: g6h5
57: f4e3
58: a7a5
59: h1h5
60: c5c6
61: c3c4
62: d6d8
63: c4b5
64: c7b5
65: f7c4
66: b5d4
67: c4d5
68: c6c5
69: f2f4
70: d4c2
71: e3f3
72: c2d4
73: f3e3
74: d4c2
75: e3f3
76: c2d4
