Result: White wins by checkmate

1: c1g5
2: c8f5
3: e2e4
4: f5e6
5: d4d5
6: e6d7
7: g1e2
8: b8a6
9: d1d2
10: e8f8
11: g2g4
12: h7h5
13: g4h5
14: a6c5
15: h5h6
16: c5d3
17: d2d3
18: g7h6
19: g5h6
20: f8g8
21: d3d2
22: a7a6
23: h2h4
24: e7e5
25: d5e6
26: d7e6
27: c3d5
28: c7c6
29: d5c3
30: a6a5
31: e2d4
32: e6c8
33: e1c1
34: c6c5
35: d4b5
36: c8e6
37: e4e5
38: f6g4
39: h6g5
40: f7f6
41: e5f6
42: g4f6
43: d1e1
44: e6f7
45: d2f4
46: f6h5
47: f4d6
48: d8c8
49: f1d3
50: g8g7
51: e1e7
52: a8a6
53: d6d7
54: c8d7
55: d3e4
56: h8d8
57: h1e1
58: h5g3
59: e4b7
60: a6b6
61: b7d5
62: d8e8
63: e7d7
64: e8e1
65: c1d2
66: b6e6
67: c3e4
68: e1e4
69: f3e4
70: g3e4
71: d5e4
72: e6e4
73: d2d3
74: e4e1
75: b5d6
76: e1f1
77: d3e2
78: f1f5
79: d6f5
80: g6f5
81: e2d2
82: g7f8
83: d2c3
84: a5a4
85: d7c7
86: f8g7
87: h4h5
88: g7f8
89: h5h6
90: f8g8
91: a2a3
92: f5f4
93: g5f4
94: g8h8
95: c7f7
96: h8g8
97: f7e7
98: g8h8
99: e7d7
100: h8g8
101: h6h7
102: g8h8
103: f4e5
