Result: Black wins by checkmate

1: b1c3
2: d7d6
3: a4b3
4: c8g4
5: h2h3
6: g4h5
7: g2g4
8: h5g6
9: d1e2
10: d8d7
11: g4g5
12: f6g8
13: f3h4
14: c6d4
15: e2c4
16: b7b5
17: c4d5
18: c7c6
19: h4g6
20: f7g6
21: d5f7
22: d7f7
23: b3f7
24: e8f7
25: e1d1
26: h7h6
27: d2d3
28: d4e6
29: c1e3
30: f8e7
31: d1d2
32: b5b4
33: c3a4
34: a8b8
35: a4b6
36: b8d8
37: a2a3
38: b4b3
39: g5h6
40: d6d5
41: h6g7
42: f7g7
43: e4d5
44: c6d5
45: a1g1
46: d5d4
47: c2b3
48: d4e3
49: d2e3
50: e7c5
51: e3e4
52: g8f6
53: e4f3
54: d8d3
55: f3e2
56: h8d8
57: b6d5
58: d3d5
59: e2f1
60: e6f4
61: g1g6
62: g7g6
63: f1g1
64: d5d3
65: b3b4
66: d3g3
67: g1h2
68: g3g2
