Result: White wins by checkmate

1: g1f3
2: f6g4
3: h2h3
4: g4f6
5: e1g1
6: e8g8
7: b1c3
8: b8c6
9: b2b3
10: e7b4
11: c3b1
12: d8d6
13: c4c5
14: d6e7
15: a2a3
16: b4c5
17: b3b4
18: c5b4
19: a3b4
20: e7b4
21: c1a3
22: b4a5
23: a3b2
24: a5b4
25: b2c3
26: b4b6
27: d1d2
28: f6e4
29: d2e3
30: c8d7
31: e3f4
32: a7a5
33: f3e5
34: c6d4
35: e5d7
36: d4e2
37: g1h2
38: b6c6
39: f4e3
40: e4c3
41: d7f8
42: g8f8
43: e3d3
44: f7f5
45: f1e1
46: c6a6
47: d3e3
48: d5d4
49: e3e5
50: c3e4
51: a1a2
52: e2c3
53: b1c3
54: e4c3
55: a2d2
56: c3b5
57: g2f1
58: c7c6
59: f1c4
60: f5f4
61: e5e6
62: f4g3
63: f2g3
64: b5a7
65: e6g8
