Result: White wins by checkmate

1: a2a3
2: b4c3
3: b5c6
4: d7c6
5: e1g1
6: c3d4
7: c2c3
8: f6e4
9: f3d4
10: d8d5
11: d2d3
12: e4c3
13: d1e1
14: d5d4
15: b2c3
16: d4c5
17: c1e3
18: c5d5
19: e3f4
20: f7f6
21: d3d4
22: e8g8
23: d4e5
24: f8e8
25: a1d1
26: d5c5
27: e1d2
28: c8g4
29: d1a1
30: a8d8
31: d2c1
32: g4e2
33: f1e1
34: e8e5
35: f4e3
36: c5b5
37: a3a4
38: b5c4
39: f2f4
40: e5c5
41: e1e2
42: c4d3
43: e2c2
44: d3f5
45: e3c5
46: f5c5
47: g1h1
48: d8d3
49: c1f1
50: d3d5
51: a1b1
52: b7b5
53: c3c4
54: a7a6
55: f1e2
56: d5d8
57: c4b5
58: c5d4
59: c2c4
60: d4a7
61: e2e7
62: d8a8
63: c4c6
64: a7d4
65: c6c7
66: f6f5
67: e7f7
68: g8h8
69: b5a6
70: a8d8
71: b1e1
72: h7h6
73: a6a7
74: h8h7
75: c7e7
76: h7h8
77: f7g6
78: d8f8
79: a7a8q
80: f8g8
81: a8g8
82: h8g8
83: e7e8
