Result: White wins by checkmate

1: d2d3
2: e4c5
3: d3d4
4: c5e6
5: d4d5
6: e6c5
7: b2b4
8: d8f6
9: c2c3
10: c5e4
11: d1c2
12: f6e7
13: f1e2
14: e4f6
15: c3c4
16: b8a6
17: b4b5
18: a6b4
19: c2b3
20: b4d5
21: c1g5
22: d5b6
23: b1d2
24: c8g4
25: a2a4
26: e8c8
27: h2h3
28: g4h5
29: a4a5
30: b6d7
31: a5a6
32: d7c5
33: g5f6
34: e7f6
35: b3d1
36: b7a6
37: g2g4
38: h5g6
39: g4g5
40: f6e7
41: d2b3
42: a6b5
43: a1a7
44: c8b8
45: d1a1
46: c5d3
47: e1d2
48: e7e4
49: b3d4
50: d3f2
51: h1b1
52: e4f4
53: d2e1
54: f2d3
55: e1f1
56: g6e4
57: b1b5
58: b8c8
59: a7c7
60: c8c7
61: a1a7
62: e4b7
63: a7b7
