Result: Black wins by checkmate

1: d2d3
2: e4f6
3: b1c3
4: d6d5
5: d3d4
6: c7c6
7: f1d3
8: c8g4
9: h2h3
10: g4h5
11: g2g4
12: h5g6
13: d1e2
14: f8e7
15: c1f4
16: e8g8
17: e1c1
18: e7b4
19: a2a3
20: f8e8
21: f3e5
22: b4c3
23: b2c3
24: d8a5
25: c1b2
26: g6e4
27: h1e1
28: b8a6
29: d1b1
30: a6c7
31: g4g5
32: c7b5
33: d3b5
34: a8c8
35: b5d3
36: c6c5
37: g5f6
38: c5d4
39: c3d4
40: c8c3
41: b1a1
42: e8c8
43: e5d7
44: a5a4
45: d3e4
46: a4d4
47: f4e5
48: c3c2
49: b2b1
50: c2e2
51: e4h7
52: g8h7
53: e5d4
54: e2e1
55: b1a2
56: e1a1
57: a2a1
58: c8d8
59: f6g7
60: d8d7
61: a1b1
62: d7c7
63: d4f6
64: c7c6
65: f6d4
66: a7a6
67: f2f4
68: f7f6
69: b1b2
70: h7g7
71: f4f5
72: c6c4
73: d4f2
74: c4f4
75: f2c5
76: f4f5
77: b2c3
78: f5f4
79: c5d6
80: f4h4
81: c3d3
82: g7f7
83: d6c7
84: f7e6
85: c7b6
86: h4h3
87: b6e3
88: e6e5
89: d3e2
90: h3e3
91: e2e3
92: a6a5
93: e3d3
94: d5d4
95: d3c4
96: e5e4
97: c4b5
98: d4d3
99: b5a5
100: d3d2
101: a5b6
102: d2d1q
103: b6b7
104: e4d5
105: b7c8
106: d5c6
107: a3a4
108: d1d6
109: a4a5
110: d6f8
