"Matchup","Game","White","Black","Swapped","OpeningIdx","Result","Termination","TimeSec","ExitCode"
"mcts_trad_vs_mcts_nn","1","MCTS_TRAD","MCTS_NN","False","0","1/2-1/2","draw_3fold_claim","556,28","0"
"mcts_trad_vs_mcts_nn","2","MCTS_TRAD","MCTS_NN","False","1","1/2-1/2","draw_3fold_claim","621,85","0"
"mcts_trad_vs_mcts_nn","3","MCTS_TRAD","MCTS_NN","False","2","0-1","checkmate","601,46","0"
"mcts_trad_vs_mcts_nn","4","MCTS_TRAD","MCTS_NN","False","3","1/2-1/2","draw_3fold_claim","642,18","0"
"mcts_trad_vs_mcts_nn","5","MCTS_TRAD","MCTS_NN","False","4","1/2-1/2","draw_3fold_claim","382,78","0"
"mcts_trad_vs_mcts_nn","6","MCTS_TRAD","MCTS_NN","False","5","1/2-1/2","draw_3fold_claim","413,58","0"
"mcts_trad_vs_mcts_nn","7","MCTS_TRAD","MCTS_NN","False","6","1/2-1/2","draw_3fold_claim","882,51","0"
"mcts_trad_vs_mcts_nn","8","MCTS_TRAD","MCTS_NN","False","7","1/2-1/2","draw_insufficient","611,89","0"
"mcts_trad_vs_mcts_nn","9","MCTS_TRAD","MCTS_NN","False","8","1/2-1/2","draw_3fold_claim","253,14","0"
"mcts_trad_vs_mcts_nn","10","MCTS_TRAD","MCTS_NN","False","9","1/2-1/2","draw_3fold_claim","605,8","0"
"mcts_trad_vs_mcts_nn","11","MCTS_TRAD","MCTS_NN","False","10","0-1","checkmate","343,67","0"
"mcts_trad_vs_mcts_nn","12","MCTS_TRAD","MCTS_NN","False","11","1/2-1/2","draw_3fold_claim","449,09","0"
"mcts_trad_vs_mcts_nn","13","MCTS_TRAD","MCTS_NN","False","12","1/2-1/2","draw_3fold_claim","746,05","0"
"mcts_trad_vs_mcts_nn","14","MCTS_TRAD","MCTS_NN","False","13","1/2-1/2","draw_3fold_claim","847,63","0"
"mcts_trad_vs_mcts_nn","15","MCTS_TRAD","MCTS_NN","False","14","1/2-1/2","draw_3fold_claim","320,28","0"
"mcts_trad_vs_mcts_nn","16","MCTS_NN","MCTS_TRAD","True","15","1/2-1/2","draw_3fold_claim","634,09","0"
"mcts_trad_vs_mcts_nn","17","MCTS_NN","MCTS_TRAD","True","16","1/2-1/2","draw_3fold_claim","591,26","0"
"mcts_trad_vs_mcts_nn","18","MCTS_NN","MCTS_TRAD","True","17","1/2-1/2","draw_3fold_claim","363,68","0"
"mcts_trad_vs_mcts_nn","19","MCTS_NN","MCTS_TRAD","True","18","1/2-1/2","draw_3fold_claim","422,02","0"
"mcts_trad_vs_mcts_nn","20","MCTS_NN","MCTS_TRAD","True","19","1/2-1/2","draw_3fold_claim","796,58","0"
"mcts_trad_vs_mcts_nn","21","MCTS_NN","MCTS_TRAD","True","20","1-0","checkmate","2172,75","0"
"mcts_trad_vs_mcts_nn","22","MCTS_NN","MCTS_TRAD","True","21","0-1","checkmate","958","0"
"mcts_trad_vs_mcts_nn","23","MCTS_NN","MCTS_TRAD","True","22","1/2-1/2","draw_3fold_claim","854,27","0"
"mcts_trad_vs_mcts_nn","24","MCTS_NN","MCTS_TRAD","True","23","1/2-1/2","draw_3fold_claim","300,09","0"
"mcts_trad_vs_mcts_nn","25","MCTS_NN","MCTS_TRAD","True","24","1/2-1/2","draw_3fold_claim","1107,15","0"
"mcts_trad_vs_mcts_nn","26","MCTS_NN","MCTS_TRAD","True","0","1/2-1/2","draw_3fold_claim","243,01","0"
"mcts_trad_vs_mcts_nn","27","MCTS_NN","MCTS_TRAD","True","1","1/2-1/2","draw_3fold_claim","764,69","0"
"mcts_trad_vs_mcts_nn","28","MCTS_NN","MCTS_TRAD","True","2","1/2-1/2","draw_3fold_claim","614,46","0"
"mcts_trad_vs_mcts_nn","29","MCTS_NN","MCTS_TRAD","True","3","1-0","checkmate","191,27","0"
"mcts_trad_vs_mcts_nn","30","MCTS_NN","MCTS_TRAD","True","4","1/2-1/2","draw_3fold_claim","306,04","0"
