Result: Draw by threefold repetition

1: g1f3
2: h7h6
3: g5f6
4: e7f6
5: c4d5
6: e6d5
7: d1b3
8: c7c6
9: e2e3
10: a7a5
11: f1d3
12: b8d7
13: e1g1
14: e8g8
15: f1e1
16: g7g6
17: c3d5
18: c6d5
19: b3d5
20: g8h8
21: a1c1
22: h8g8
23: d3g6
24: d7b6
25: d5d8
26: f6d8
27: g6e4
28: d8f6
29: c1c7
30: g8g7
31: e4b7
32: a8a7
33: c7c8
34: b6c8
35: b7c6
36: f8h8
37: e1c1
38: h8g8
39: h2h4
40: g8h8
41: g1h2
42: h8g8
43: g2g3
44: g8h8
45: f3d2
46: h8g8
47: c6g2
48: g8h8
49: d2b3
50: h8g8
51: b3c5
52: g8h8
53: c5d3
54: h8g8
55: h2g1
56: g8h8
57: a2a3
58: h8g8
59: c1c3
60: g8h8
61: c3c1
62: h8g8
63: g1h2
64: g8h8
