Result: Draw by threefold repetition

1: a4c6
2: d7c6
3: d2d3
4: f6d7
5: d3d4
6: f7f6
7: e1g1
8: a6a5
9: b1c3
10: b7b6
11: d4e5
12: d7e5
13: c1f4
14: e5g6
15: c3e2
16: d8d1
17: f1d1
18: g6f4
19: e2f4
20: c8g4
21: d1d3
22: f8d6
23: h2h3
24: g4c8
25: a1d1
26: e8f7
27: d3d6
28: c7d6
29: d1d6
30: h8e8
31: f3d2
32: c8b7
33: d6d3
34: e8d8
35: d2c4
36: d8d3
37: f4d3
38: a8a6
39: c4d6
40: f7e7
41: d6f5
42: e7f8
43: f5d6
44: a6a7
45: e4e5
46: f6e5
47: d3e5
48: g7g6
49: d6b7
50: a7b7
51: e5c6
52: b7d7
53: b2b4
54: a5b4
55: g1f1
56: d7b7
57: f1e2
58: f8e8
59: c6b4
60: b7e7
61: e2d3
62: e7f7
63: f2f3
64: f7f5
65: d3e4
66: f5b5
67: c2c3
68: e8d7
69: e4d4
70: d7d6
71: f3f4
72: b5a5
73: g2g4
74: a5c5
75: g4g5
76: c5c7
77: h3h4
78: d6e6
79: b4d5
80: c7d7
81: c3c4
82: d7a7
83: a2a4
84: a7a4
85: d5b6
86: a4a7
87: c4c5
88: a7a2
89: b6c4
90: a2f2
91: d4e4
92: f2h2
93: c5c6
94: h2c2
95: e4d4
96: c2f2
97: d4e4
98: f2h2
99: h4h5
100: h2h5
101: e4e3
102: h5h1
103: e3e4
104: h1c1
105: e4d4
106: c1e1
107: d4d3
108: e1b1
109: d3e4
110: b1b5
111: e4d4
112: b5b1
113: d4e4
114: b1b5
115: e4d4
116: b5b1
