Result: Draw by threefold repetition

1: f1b5
2: c8d7
3: b5d7
4: b8d7
5: b1c3
6: h7h5
7: e1g1
8: e7e6
9: d1d3
10: a7a6
11: d4e6
12: f7e6
13: d3c4
14: h8g8
15: c4e6
16: d8e7
17: e6c4
18: g8h8
19: c1e3
20: a8d8
21: a2a4
22: e7f7
23: c4b4
24: d8b8
25: e3a7
26: d6d5
27: b4d4
28: b8c8
29: e4d5
30: f8e7
31: d5d6
32: e7d8
33: d4e3
34: e8f8
35: a7d4
36: h8h7
37: d4f6
38: d8f6
39: e3e4
40: g7g6
41: e4b7
42: f7c4
43: f1e1
44: f6c3
45: b2c3
46: c4c3
47: b7a6
48: c3c2
49: e1e2
50: c2c3
51: a1d1
52: c3c4
53: a6b7
54: c8b8
55: e2e4
56: c4c2
57: b7d5
58: h7f7
59: d5d4
60: f8g8
61: d1e1
62: b8b4
63: e4e8
64: d7f8
65: d4e3
66: c2a4
67: e3d3
68: g8h7
69: e8e7
70: b4f4
71: e7e4
72: a4a5
73: e1e2
74: f8d7
75: e4e6
76: f7g7
77: g2g3
78: d7c5
79: d3d5
80: f4f5
81: e6e5
82: f5e5
83: e2e5
84: g7d7
85: f2f4
86: a5d8
87: d5c5
88: d7d6
89: f4f5
90: g6g5
91: e5e6
92: d6d7
93: f5f6
94: d7d1
95: g1g2
96: d8d5
97: c5d5
98: d1d5
99: h2h4
100: g5h4
101: e6e7
102: h7g6
103: f6f7
104: g6g7
105: g3h4
106: d5b5
107: g2g3
108: b5b3
109: g3f4
110: g7f8
111: e7a7
112: b3b4
113: f4g5
114: b4b3
115: g5h5
116: b3b5
117: h5g4
118: b5e5
119: a7d7
120: e5a5
121: d7c7
122: a5a8
123: g4f5
124: a8a5
125: f5g4
126: a5a8
127: g4f5
128: a8a5
