Result: Draw by insufficient material

1: f1b5
2: c8d7
3: b5d7
4: b8d7
5: b1c3
6: a7a6
7: e1g1
8: h7h6
9: f2f4
10: g8f6
11: f4f5
12: g6g5
13: c1g5
14: h6g5
15: d4f3
16: f6e4
17: c3e4
18: g5g4
19: d1d4
20: h8h6
21: f3d2
22: d7e5
23: d4e3
24: d8d7
25: f5f6
26: e8c8
27: f6e7
28: d7e7
29: a2a4
30: f8g7
31: e4g5
32: d8f8
33: a1e1
34: c8b8
35: c2c4
36: b8c8
37: e1a1
38: f8e8
39: a1e1
40: e8f8
41: d2b3
42: c8b8
43: f1f2
44: b8a8
45: h2h3
46: g4h3
47: g2h3
48: f8g8
49: f2f7
50: e5f7
51: e3e7
52: f7g5
53: e7g5
54: g7d4
55: b3d4
56: g8g5
57: g1h2
58: a8b8
59: e1e8
60: b8c7
61: d4e6
62: h6e6
63: e8e6
64: g5a5
65: b2b3
66: a5f5
67: e6e1
68: c7b6
69: e1d1
70: f5f3
71: d1d6
72: b6c5
73: d6d5
74: c5b6
75: b3b4
76: f3f4
77: d5c5
78: a6a5
79: h2g3
80: a5b4
81: c5b5
82: b6a6
83: g3f4
84: a6a7
85: b5b4
86: a7a6
87: b4b1
88: a6a5
89: b1b7
90: a5a4
91: b7f7
92: a4b4
93: f7f8
94: b4c4
95: f4f5
96: c4d5
97: f5f6
98: d5e4
99: f8e8
100: e4f3
101: e8a8
102: f3g2
103: a8g8
104: g2h3
105: g8h8
106: h3g4
107: h8g8
108: g4f4
109: g8g4
110: f4g4
