Result: Draw by threefold repetition

1: g1f3
2: b8c6
3: d4d5
4: c6b4
5: f1b5
6: c8d7
7: b5d7
8: f6d7
9: e1g1
10: d7f6
11: c1d2
12: b4d5
13: c3d5
14: a5d5
15: f1e1
16: e7e6
17: e1e5
18: d5d8
19: e5b5
20: b7b6
21: d1e2
22: h7h6
23: a1d1
24: f8d6
25: d2b4
26: d8b8
27: f3e5
28: e8g8
29: e5c6
30: b8b7
31: b4d6
32: c7d6
33: d1d6
34: a8c8
35: c6a7
36: b7a7
37: b5b6
38: a7a2
39: e2d1
40: g8h8
41: b6b3
42: h8g8
43: d6d3
44: g8h8
45: c2c3
46: h8g8
47: d1c2
48: g8h8
49: b3a3
50: a2c4
51: a3a4
52: c4c7
53: d3g3
54: h8g8
55: g3f3
56: g8h8
57: f3f6
58: c7e5
59: f6e6
60: e5e6
61: a4e4
62: c8a8
63: g2g4
64: e6c8
65: g1f1
66: c8a6
67: c3c4
68: h8g8
69: g4g5
70: h6g5
71: h2h4
72: g5h4
73: e4h4
74: f8e8
75: c2h7
76: g8f8
77: h7g7
78: f8g7
79: h4g4
80: g7f6
81: g4g6
82: f7g6
83: b2b3
84: a6a1
85: f1g2
86: a1h1
87: g2h1
88: e8g8
89: b3b4
90: a8a1
91: h1h2
92: g8h8
93: h2g3
94: a1g1
95: g3f3
96: g1g3
97: f3g3
98: h8g8
99: g3f4
100: g6g5
101: f4e4
102: g8e8
103: e4d4
104: e8d8
105: d4e4
106: d8e8
107: e4d5
108: e8d8
109: d5e4
