Result: Draw by threefold repetition

1: d2d4
2: e5d4
3: e4e5
4: d7d5
5: e5f6
6: d5c4
7: f6g7
8: h8g8
9: c1g5
10: c5e7
11: g5e7
12: d8e7
13: e1f1
14: d4c3
15: b1c3
16: c8f5
17: c3d5
18: e7d6
19: d1e2
20: c6e7
21: d5e7
22: d6e7
23: e2c4
24: g8g7
25: c4b5
26: e7d7
27: b5b7
28: f5d3
29: f1e1
30: a8d8
31: g2g3
32: d7e7
33: f3e5
34: e7e5
35: e1d1
36: d3e4
37: b7d5
38: e5d5
39: d1e2
40: e4h1
41: e2e1
42: g7g3
43: f2g3
44: d5d2
45: e1f1
46: d2d1
47: a1d1
48: d8d1
49: f1e2
50: d1d2
51: e2d2
52: h1d5
53: d2d3
54: d5a2
55: d3d4
56: c7c5
57: d4c5
58: a2b1
59: c5d5
60: b1a2
61: d5e4
62: a2b1
63: e4f3
64: b1g6
65: h2h3
66: g6h5
67: g3g4
68: h5g4
69: f3g4
70: e8d8
71: g4f5
72: a7a5
73: f5f6
74: d8e8
75: h3h4
76: a5a4
77: h4h5
78: e8f8
79: h5h6
80: f8g8
81: f6e5
82: g8f8
83: e5f6
84: f8g8
85: f6e5
86: g8f8
