Result: Draw by threefold repetition

1: b5c6
2: d7c6
3: f3e5
4: d8e7
5: e5f3
6: f6e4
7: e1g1
8: b4c5
9: c3e4
10: e8g8
11: e4c5
12: e7c5
13: d2d4
14: c5b5
15: a2a4
16: b5a6
17: c1f4
18: c8f5
19: f4c7
20: a6c4
21: b2b3
22: c4c3
23: d1e1
24: c3c2
25: e1b4
26: f5d3
27: c7d6
28: f8e8
29: f3e1
30: c2e2
31: e1d3
32: b7b6
33: d3e5
34: c6c5
35: d4c5
36: e8e5
37: c5b6
38: e5e4
39: b6b7
40: a8b8
41: b4e4
42: e2e4
43: d6b8
44: e4b7
45: b8a7
46: b7a7
47: a1b1
48: a7a6
49: h2h3
50: a6a7
51: g2g4
52: a7b7
53: g1h2
54: b7f3
55: g4g5
56: f3f4
57: h2g2
58: f4g5
59: g2f3
60: g5f5
61: f3g3
62: f5g5
63: g3f3
64: g5f5
65: f3g3
66: f5g5
