Result: Draw by threefold repetition

1: a2a3
2: b4c3
3: e1g1
4: c3d4
5: c2c3
6: f6e4
7: c3d4
8: c6d4
9: d2d3
10: e4d6
11: f3d4
12: e5d4
13: f1e1
14: e8f8
15: b5a4
16: b7b5
17: d1f3
18: c8b7
19: f3g4
20: b5a4
21: c1g5
22: f7f6
23: g5d2
24: a8b8
25: g4d4
26: f8g8
27: d4a4
28: b7g2
29: a4d4
30: g2b7
31: d4a4
32: h7h6
33: a1c1
34: b7f3
35: c1c2
36: f3b7
37: a4a5
38: b8c8
39: c2c5
40: a7a6
41: a5a4
42: g8h7
43: d2a5
44: b7c6
45: c5c6
46: d7c6
47: a4c6
48: g7g5
49: e1e3
50: g5g4
51: a5c3
52: a6a5
53: c6d5
54: a5a4
55: d5e6
56: h8e8
57: e6a2
58: e8e3
59: a2d5
60: e3d3
61: d5d3
62: h7g7
63: d3d4
64: c8a8
65: d4f4
66: g7g6
67: c3d4
68: h6h5
69: f2f3
70: g4f3
71: f4f3
72: d8f8
73: f3g2
74: g6f5
75: g2h3
76: f5g5
77: d4e3
78: g5g6
79: e3f4
80: a8d8
81: h3f3
82: f6f5
83: f3g3
84: g6f6
85: f4g5
86: f6e6
87: g3h4
88: d8a8
89: h4h5
90: f8e8
91: h5h7
92: e8c8
93: h7e7
94: e6d5
95: g5f4
96: d5c5
97: e7e5
98: c5c4
99: e5c3
100: c4d5
101: c3e5
102: d5c6
103: e5c3
104: c6d5
105: c3e5
106: d5c6
107: e5c3
