Result: White wins by checkmate

1: a2a3
2: b4d6
3: c4c5
4: d6e7
5: g1f3
6: d7d6
7: c5d6
8: e7d6
9: f1d3
10: f6g4
11: h2h3
12: g4f6
13: g2g3
14: b8c6
15: d1c2
16: h7h6
17: d3b5
18: f8e8
19: b5c6
20: b7c6
21: c3e2
22: c8b7
23: c2b3
24: a8b8
25: b3d3
26: c6c5
27: e2g1
28: d6e7
29: g3g4
30: d8d5
31: h1h2
32: c5c4
33: d3d1
34: e7d6
35: h2g2
36: d5b5
37: g4g5
38: c4c3
39: g5f6
40: c3b2
41: c1b2
42: g7g5
43: b2c3
44: b7e4
45: g2g4
46: b5c6
47: a1c1
48: c6d5
49: c3b4
50: e8c8
51: f3d2
52: e4f5
53: c1c4
54: c7c5
55: e3e4
56: f5e4
57: d4c5
58: e4d3
59: c4d4
60: d5e5
61: g1e2
62: d3e2
63: d1e2
64: e5e2
65: e1e2
66: d6e5
67: d4d7
68: a7a5
69: h3h4
70: a5b4
71: a3b4
72: e5f6
73: d2e4
74: f6e5
75: e4d6
76: f7f5
77: d6c8
78: b8c8
79: g4c4
80: c8c7
81: d7c7
82: e5c7
83: c4c2
84: g5h4
85: e2e3
86: h4h3
87: f2f4
88: e6e5
89: c2h2
90: e5f4
91: e3f2
92: c7e5
93: h2h3
94: g8g7
95: h3a3
96: g7g6
97: a3a6
98: g6g5
99: c5c6
100: g5g4
101: b4b5
102: e5d4
103: f2e1
104: f4f3
105: c6c7
106: f3f2
107: e1e2
108: f2f1q
109: e2f1
110: h6h5
111: c7c8q
112: g4f4
113: a6e6
114: h5h4
115: c8c1
116: f4g3
117: c1g5
118: g3f3
119: g5f5
120: f3g3
121: e6g6
122: g3h2
123: g6g2
124: h2h1
125: f5h3
