Result: Draw by threefold repetition

1: d2d4
2: e5d4
3: e4e5
4: f6e4
5: d1e2
6: b7b5
7: c4b5
8: a8b8
9: b5c6
10: e4c3
11: e2c4
12: c3b1
13: c4c5
14: b1a3
15: f3d4
16: c8a6
17: c5a3
18: a6c4
19: a3a7
20: c4d3
21: a7a3
22: d3g6
23: c6d5
24: d8h4
25: d5a8
26: h4d4
27: a3a5
28: c7c6
29: a8c6
30: d7c6
31: a5c7
32: e8g8
33: e1g1
34: f8e8
35: e5e6
36: d4d5
37: e6f7
38: g6f7
39: c7g3
40: b8b4
41: a2a3
42: b4a4
43: c1g5
44: e8e2
45: f1d1
46: a4d4
47: d1d4
48: d5d4
49: g3b8
50: f7e8
51: g5e3
52: e2e3
53: f2e3
54: d4e3
55: g1f1
56: e3d3
57: f1e1
58: g8f8
59: a1d1
60: d3b5
61: b8b5
62: c6b5
63: d1a1
64: e8c6
65: e1f2
66: f8e7
67: a1e1
68: e7d6
69: e1d1
70: d6e5
71: d1c1
72: e5d6
73: c1g1
74: c6d5
75: f2f1
76: b5b4
77: a3b4
78: d6e5
79: f1e2
80: d5e4
81: b4b5
82: h7h5
83: h2h3
84: h5h4
85: b5b6
86: e4d5
87: g2g3
88: g7g5
89: g3h4
90: g5h4
91: g1g4
92: e5d6
93: e2d3
94: d6c5
95: b2b4
96: c5b6
97: g4f4
98: b6c7
99: f4g4
100: c7d6
101: g4f4
102: d6e5
103: f4h4
104: d5f3
105: h4h8
106: f3e4
107: d3e2
108: e5d4
109: h8d8
110: e4d5
111: d8b8
112: d5c4
113: e2f3
114: c4d5
115: f3e2
116: d5c4
117: e2f3
118: c4d5
