Result: Black wins by checkmate

1: b1c3
2: e7e5
3: d4f5
4: c8f5
5: e4f5
6: b8c6
7: d1f3
8: c6d4
9: f1b5
10: d4b5
11: c3b5
12: d8a5
13: b5c3
14: e5e4
15: f3f4
16: a8c8
17: f2f3
18: c8c3
19: c1d2
20: e4f3
21: g2f3
22: f6d5
23: f4e4
24: f8e7
25: d2c3
26: d5c3
27: b2c3
28: a5c3
29: e1e2
30: e8d7
31: a1b1
32: h8b8
33: b1b3
34: c3a5
35: h1b1
36: b7b6
37: b1g1
38: e7f6
39: a2a4
40: b8e8
41: b3a3
42: a5c5
43: a3e3
44: e8e4
45: f3e4
46: c5c2
47: e2e1
48: f6d4
49: g1g3
50: d4e3
51: g3e3
52: d6d5
53: f5f6
54: g7f6
55: e4d5
56: c2a4
57: e3e2
58: a4a5
59: e2d2
60: d7d6
61: e1e2
62: a5d2
63: e2d2
64: d6d5
65: d2e3
66: a7a5
67: e3f4
68: a5a4
69: f4f5
70: a4a3
71: f5f6
72: b6b5
73: f6f7
74: b5b4
75: f7g8
76: h7h5
77: g8f7
78: b4b3
79: f7f6
80: d5e4
81: f6g6
82: h5h4
83: g6h5
84: a3a2
85: h5h4
86: b3b2
87: h4g3
88: a2a1q
89: g3g2
90: b2b1q
91: h2h4
92: a1g7
93: g2f2
94: b1c2
95: f2e1
96: g7g1
