Result: Draw by threefold repetition

1: d4b3
2: c5d6
3: f1d3
4: d8h4
5: g2g3
6: h4e7
7: d1e2
8: d6c5
9: b3c5
10: c6d4
11: e2h5
12: g8f6
13: h5d1
14: e8g8
15: c5a4
16: d7d5
17: a4c3
18: c8g4
19: c3d5
20: e7d7
21: d3e2
22: g4e2
23: d1d4
24: f6d5
25: d4d5
26: d7d5
27: e4d5
28: e2f3
29: e1g1
30: f8d8
31: c2c4
32: f3e2
33: g1g2
34: e2c4
35: b1c3
36: c4d3
37: f1d1
38: d3c2
39: d1d2
40: c2f5
41: c3b5
42: d8d7
43: b5d4
44: f5e4
45: f2f3
46: e4d5
47: d4f5
48: a8e8
49: f5h4
50: e8e5
51: g2h3
52: b7b5
53: h4g2
54: g7g5
55: g2e3
56: e5e3
57: d2d5
58: d7d5
59: c1e3
60: d5e5
61: e3a7
62: c7c5
63: a7b8
64: e5d5
65: a1e1
66: d5d2
67: b8c7
68: g8g7
69: c7b8
70: c5c4
71: b8c7
72: h7h6
73: c7b8
74: h6h5
75: b8c7
76: d2f2
77: c7d8
78: f2b2
79: d8g5
80: g7g6
81: g5d8
82: b2a2
83: d8e7
84: c4c3
85: e1c1
86: c3c2
87: e7f8
88: g6f5
89: h3h4
90: f5f6
91: h4h5
92: f6e5
93: h5g4
94: f7f6
95: f8e7
96: e5e6
97: e7f8
98: a2a4
99: g4h5
100: a4a2
101: h2h4
102: e6d5
103: h5g6
104: d5c4
105: g6f6
106: c4d5
107: f8g7
108: d5d4
109: c1c2
110: a2c2
111: h4h5
112: d4e3
113: f3f4
114: e3f3
115: h5h6
116: c2h2
117: f6g6
118: h2h3
119: f4f5
120: h3g3
121: g6f6
122: g3h3
123: f6g6
124: h3g3
125: g6f6
126: g3h3
127: f6g6
