Result: Draw by threefold repetition

1: h2h3
2: b8c6
3: d4d5
4: c6e5
5: g1e2
6: e8f8
7: e2d4
8: h7h5
9: d4b5
10: g7h6
11: b5d4
12: c8d7
13: c1h6
14: h8h6
15: d4b5
16: d7b5
17: c4b5
18: g6g5
19: g2g3
20: h5h4
21: f2f4
22: f6h5
23: f4e5
24: h5g3
25: h1h2
26: d8d7
27: e5d6
28: h6d6
29: c3a4
30: g3f1
31: e1f1
32: a7a6
33: b5a6
34: d6a6
35: a4c5
36: d7b5
37: c5d3
38: b5c4
39: h2e2
40: c4d4
41: d3f2
42: d4b6
43: f2g4
44: a6a2
45: a1b1
46: b6c5
47: g4h6
48: f8e8
49: h6f7
50: e8f7
51: e2f2
52: f7g6
53: d1g4
54: c5d6
55: f2f5
56: d6a6
57: f1g1
58: a6b6
59: g1h1
60: a2a1
61: f5g5
62: g6f7
63: h1g2
64: a1b1
65: g4h5
66: f7f8
67: g5f5
68: b6f6
69: h5h8
70: f8f7
71: h8a8
72: b1b2
73: g2f3
74: f7g7
75: f5f6
76: e7f6
77: a8e8
78: c7c6
79: d5c6
80: b7c6
81: e8c6
82: b2d2
83: c6e8
84: d2c2
85: e8e7
86: g7g6
87: e7f8
88: c2b2
89: f8h8
90: g6f7
91: h8h4
92: f7e6
93: h4h8
94: b2c2
95: h8f8
96: c2c3
97: f3g4
98: c3c2
99: f8h8
100: e6e5
101: h3h4
102: c2c6
103: h8a8
104: c6d6
105: a8a5
106: e5e4
107: a5a4
108: d6d4
109: a4d4
110: e4d4
111: g4f5
112: d4d5
113: f5f6
114: d5d4
115: h4h5
116: d4d5
117: h5h6
118: d5e4
119: f6e6
120: e4d4
121: e6f5
122: d4d5
123: f5f6
124: d5e4
125: f6e6
126: e4d4
127: e6f5
128: d4d5
