Result: White wins by checkmate

1: b2b4
2: c5b4
3: d2d3
4: b4c5
5: e1g1
6: d7d5
7: e4d5
8: f6d5
9: c1g5
10: f7f6
11: d1b3
12: d5e7
13: b3b5
14: d8d6
15: g5e3
16: c5e3
17: b1d2
18: e3d2
19: b5b2
20: d2c3
21: b2c3
22: e7d5
23: c3b3
24: c6e7
25: d3d4
26: e5d4
27: a1e1
28: d5f4
29: e1e4
30: d4d3
31: f1e1
32: f4g2
33: e4e7
34: e8d8
35: g1g2
36: d6e7
37: e1e7
38: d8e7
39: b3a3
40: e7d7
41: a3d3
42: d7e7
43: f3d4
44: h8d8
45: d3e4
46: e7f8
47: d4e6
48: c8e6
49: e4e6
50: d8d5
51: c4d5
52: a8c8
53: e6f7
