Result: Black wins by checkmate

1: e2e4
2: a7a6
3: e4e5
4: d6e5
5: d4e5
6: f6d7
7: e5e6
8: d7e5
9: e6f7
10: e8f7
11: d1d8
12: h8d8
13: c3d5
14: d8d7
15: f3f4
16: e7e6
17: f4e5
18: e6d5
19: g1f3
20: b8c6
21: c1f4
22: d7e7
23: e1c1
24: c6e5
25: f4e5
26: g7e5
27: d1d5
28: e5f4
29: c1b1
30: c7c6
31: d5d1
32: c8d7
33: d1d7
34: e7d7
35: g2g3
36: d7d1
37: b1c2
38: d1c1
39: c2d3
40: f4h6
41: f3e5
42: f7g8
43: e5g4
44: h6g7
45: g4h6
46: g7h6
47: d3d4
48: b7b6
49: b2b4
50: a8d8
51: d4e4
52: c1c3
53: f1d3
54: c3d3
55: h1e1
56: g8f7
57: e1f1
58: f7e6
59: f1f6
60: e6f6
61: b4b5
62: d8d4
