Result: Draw by threefold repetition

1: g1f3
2: e8g8
3: b1c3
4: b8c6
5: f3e5
6: a7a5
7: c1e3
8: h7h6
9: d1b1
10: e7b4
11: e5c6
12: b7c6
13: a2a3
14: b4c3
15: b2c3
16: c8a6
17: c4d5
18: a8b8
19: b1c2
20: e6d5
21: e1g1
22: f8e8
23: a1b1
24: b8a8
25: g2f3
26: d8e7
27: c2a4
28: a6c4
29: b1b7
30: c4b5
31: a4c2
32: f6e4
33: f1b1
34: g8h8
35: a3a4
36: b5c4
37: e3f4
38: e4d6
39: f4d6
40: e7d6
41: c2f5
42: h8g8
43: f5c2
44: d6e7
45: b7b2
46: e7g5
47: h2h4
48: g5e7
49: c2f5
50: g8h8
51: f3h5
52: g7g6
53: h5g6
54: f7g6
55: f5g6
56: e7f8
57: g6c6
58: e8e7
59: f2f4
60: h8h7
61: b2b7
62: f8g7
63: g1f2
64: a8g8
65: b1g1
66: g7g4
67: c6c4
68: g8e8
69: c4d3
70: h7g8
71: b7b2
72: g4e6
73: d3d2
74: e6a6
75: g1b1
76: a6g6
77: c3c4
78: e7e2
79: d2e2
80: e8e2
81: f2e2
82: g6e4
83: e2f1
84: g8f7
85: c4d5
86: e4f3
87: f1e1
88: f3e3
89: e1f1
90: e3g3
91: f1e2
92: g3c3
93: d5d6
94: c7d6
95: e2f2
96: h6h5
97: b2b7
98: f7f6
99: d4d5
100: c3d4
101: f2f3
102: d4d5
103: f3e3
104: d5c5
105: e3e4
106: c5c4
107: e4f3
108: c4d3
109: f3f2
110: d3f5
111: f2e3
112: f5c5
113: e3e4
114: c5c4
115: e4e3
