Result: Black wins by checkmate

1: d2d3
2: e4f6
3: d3d4
4: d6d5
5: b1c3
6: c7c6
7: d1e2
8: f8e7
9: h2h3
10: d8b6
11: e2e3
12: e8g8
13: e3e7
14: f8e8
15: e7e8
16: f6e8
17: f1d3
18: e8f6
19: c3e2
20: b8d7
21: e2g3
22: c6c5
23: e1g1
24: c5c4
25: d3e2
26: h7h6
27: b2b3
28: b6c7
29: b3c4
30: d5c4
31: c1a3
32: c7a5
33: a3e7
34: b7b5
35: a2a4
36: b5a4
37: e2c4
38: c8a6
39: c4a6
40: a5a6
41: a1e1
42: a4a3
43: e7f6
44: d7f6
45: g3e4
46: f6d7
47: f3e5
48: d7e5
49: d4e5
50: a8c8
51: e4d6
52: c8c7
53: c2c4
54: a3a2
55: e1c1
56: a6a4
57: f1d1
58: c7c5
59: f2f4
60: g7g5
61: f4g5
62: h6g5
63: d1f1
64: c5a5
65: c1a1
66: g5g4
67: h3g4
68: a5a6
69: f1f2
70: a4b4
71: f2a2
72: a6a2
73: a1a2
74: b4b1
75: g1f2
76: b1a2
77: f2e3
78: a7a5
79: e3f3
80: a5a4
81: f3g3
82: a2d2
83: g3f3
84: g8f8
85: d6f7
86: f8f7
87: e5e6
88: f7e6
89: g2g3
90: a4a3
91: f3e4
92: a3a2
93: g4g5
94: d2f2
95: e4d3
96: a2a1q
97: c4c5
98: a1d4
