Result: Draw by threefold repetition

1: f1b5
2: c7c6
3: b5c4
4: c8f5
5: c1f4
6: b8d7
7: c4d3
8: f5g4
9: f2f3
10: g4h5
11: g2g4
12: f6d5
13: f4d2
14: h5g6
15: c3e4
16: d5b4
17: a2a3
18: b4d3
19: c2d3
20: a5d8
21: g1e2
22: e7e6
23: d2g5
24: d8b6
25: d1c2
26: a8c8
27: h2h4
28: h7h6
29: g5f4
30: f8e7
31: h4h5
32: g6h7
33: f4g3
34: c8d8
35: c2c1
36: d8c8
37: c1c2
38: c8d8
39: e1f2
40: d8c8
41: e4d6
42: e7d6
43: g3d6
44: d7f6
45: c2d2
46: f6d5
47: d6c5
48: b6c7
49: c5a7
50: e8g8
51: g4g5
52: h6g5
53: h5h6
54: f7f6
55: f3f4
56: g5f4
57: e2c3
58: g7g6
59: c3d5
60: e6d5
61: h1h4
62: g6g5
63: h4h1
64: g8h8
65: a1e1
66: h8g8
67: b2b4
68: g8h8
69: d2e2
70: f8g8
71: a7c5
72: c7f7
73: c5e7
74: h7f5
75: h6h7
76: g8g7
77: h1h6
78: g7g6
79: h6h5
80: h8g7
81: h7h8q
82: c8h8
83: h5h8
84: g7h8
85: e2h5
86: h8g7
87: h5d1
88: g7h8
89: d1h5
90: h8g7
91: e1h1
92: f7e7
93: h5h8
94: g7f7
95: h1h7
96: f7e6
97: b4b5
98: e7h7
99: h8h7
100: c6b5
101: h7b7
102: f5d3
103: b7c6
104: e6f7
105: c6c3
106: d3c4
107: c3h3
108: f7g7
109: h3d7
110: g7h6
111: d7h3
112: h6g7
113: h3d7
114: g7h6
115: d7h3
