Result: Draw by threefold repetition

1: g1e2
2: d7d5
3: a2a3
4: b4d6
5: c4c5
6: d6e7
7: d1a4
8: c8d7
9: a4d1
10: b7b6
11: b2b4
12: a7a5
13: a1b1
14: b8c6
15: b4b5
16: c6a7
17: c5c6
18: a7b5
19: c3b5
20: d7e8
21: e3e4
22: d5e4
23: d1c2
24: f6d5
25: b5c3
26: d8d6
27: c3e4
28: d6c6
29: e4c3
30: d5f6
31: e2f4
32: a5a4
33: f4h3
34: f6d5
35: c1b2
36: a8d8
37: b1c1
38: h7h6
39: c3d5
40: c6d5
41: c2c7
42: d5e4
43: f1e2
44: e7f6
45: c7f4
46: e4g2
47: h1g1
48: e6e5
49: d4e5
50: g2g1
51: h3g1
52: f6g5
53: f4g5
54: h6g5
55: e2a6
56: e8d7
57: c1c7
58: d7c8
59: a6b5
60: d8d5
61: b5a4
62: b6b5
63: a4b3
64: d5d3
65: b3f7
66: f8f7
67: c7c8
68: f7f8
69: c8f8
70: g8f8
71: e1e2
72: d3b3
73: b2d4
74: f8f7
75: d4c5
76: f7e6
77: c5d6
78: g5g4
79: e2d2
80: b3b2
81: d2e3
82: b2b3
83: e3e4
84: b3b2
85: e4e3
86: b2b3
87: e3d4
88: b3b2
