Result: Draw by threefold repetition

1: g1f3
2: e8g8
3: b1d2
4: b8c6
5: a2a3
6: a7a5
7: b2b3
8: a8b8
9: e1g1
10: f6e4
11: c4d5
12: e4c3
13: d1e1
14: e6d5
15: c1b2
16: c3e4
17: a1d1
18: e4f6
19: h2h3
20: a5a4
21: b3a4
22: b8a8
23: e2e4
24: a8a4
25: e4e5
26: f6e4
27: d2e4
28: d5e4
29: e1e4
30: c6a5
31: e4d3
32: a5c4
33: b2c1
34: c7c6
35: d3b3
36: b7b5
37: h3h4
38: c4a5
39: b3b1
40: h7h6
41: d4d5
42: d8b6
43: c1h6
44: g7h6
45: d5d6
46: e7d8
47: b1c1
48: g8g7
49: d6d7
50: c8a6
51: f3d2
52: f7f5
53: d2f3
54: a5b3
55: c1c3
56: a4a3
57: c3b2
58: b5b4
59: f1e1
60: b6c5
61: e1e3
62: a6c4
63: f3e1
64: b3a5
65: e5e6
66: d8f6
67: e6e7
68: f6b2
69: d7d8q
70: f8d8
71: e7d8q
72: c4f7
73: e3e8
74: b2d4
75: d1d4
76: f7e8
77: d4b4
78: c5e5
79: b4b1
80: a3b3
81: b1d1
82: b3b7
83: d8c8
84: b7b8
85: c8a6
86: e8h5
87: g2f3
88: h5f7
89: f3c6
90: e5c7
91: c6d5
92: f7h5
93: a6d3
94: b8d8
95: e1f3
96: h5g4
97: f3d4
98: f5f4
99: d5f3
100: f4g3
101: f3g4
102: g7h8
103: d3g3
104: c7g3
105: f2g3
106: d8g8
107: g4d7
108: g8g7
109: d7e8
110: g7g8
111: e8f7
112: g8g7
113: f7e8
114: g7g8
115: e8f7
116: g8g7
