Result: Black wins by checkmate

1: d2d3
2: e8g8
3: h2h3
4: h7h6
5: b1d2
6: d7d5
7: c4b3
8: c6a5
9: b3d5
10: f6d5
11: f3e5
12: d5f4
13: d2f3
14: f4h5
15: b2b4
16: f7f5
17: e4f5
18: c5d6
19: b4a5
20: d8e8
21: d3d4
22: c8f5
23: d1e2
24: h5f6
25: f3h4
26: f5h7
27: h4f3
28: f6e4
29: c1e3
30: e8a4
31: a1c1
32: d6a3
33: e1g1
34: a8e8
35: f1d1
36: h7f5
37: e2c2
38: a4a5
39: e5c4
40: a5a6
41: c4a3
42: e4g5
43: c2b3
44: f5e6
45: d4d5
46: g5f3
47: g2f3
48: e6h3
49: d5d6
50: h3e6
51: b3b4
52: a6c6
53: b4e4
54: c6a6
55: d6c7
56: e6f7
57: e4h4
58: g8h7
59: c7c8q
60: e8c8
61: a3c2
62: c8c4
63: h4e7
64: a6g6
65: g1h2
66: f8e8
67: e7f7
68: c4h4
