file,label,result,total_moves,termination,total_time_white,total_time_black,avg_time_white,avg_time_black
metrics_minimax_nn_d2_vs_minimax_nn_d4_g10_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,107,checkmate,197.583,1792.4416,3.6589,33.8197
metrics_minimax_nn_d2_vs_minimax_nn_d4_g11_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,67,checkmate,96.1342,820.5579,2.8275,24.8654
metrics_minimax_nn_d2_vs_minimax_nn_d4_g12_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,135,checkmate,262.2274,1948.7956,3.8563,29.0865
metrics_minimax_nn_d2_vs_minimax_nn_d4_g13_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,0-1,128,checkmate,185.0114,2358.0043,2.8908,36.8438
metrics_minimax_nn_d2_vs_minimax_nn_d4_g14_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,135,checkmate,241.4833,2479.101,3.5512,37.0015
metrics_minimax_nn_d2_vs_minimax_nn_d4_g15_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,0-1,136,checkmate,149.9112,2419.2206,2.2046,35.5768
metrics_minimax_nn_d2_vs_minimax_nn_d4_g16_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,70,draw_3fold_claim,106.3895,1119.8564,3.0397,31.9959
metrics_minimax_nn_d2_vs_minimax_nn_d4_g17_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,82,draw_3fold_claim,125.7006,1137.387,3.0659,27.7411
metrics_minimax_nn_d2_vs_minimax_nn_d4_g18_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,67,checkmate,184.0634,1650.1136,5.4136,50.0034
metrics_minimax_nn_d2_vs_minimax_nn_d4_g19_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,81,draw_3fold_claim,192.8169,1687.6592,4.7029,42.1915
metrics_minimax_nn_d2_vs_minimax_nn_d4_g1_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,113,checkmate,183.7296,1880.5907,3.2233,33.582
metrics_minimax_nn_d2_vs_minimax_nn_d4_g20_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,78,draw_3fold_claim,188.8303,1784.0209,4.8418,45.7441
metrics_minimax_nn_d2_vs_minimax_nn_d4_g21_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,133,draw_3fold_claim,257.3472,2911.3663,3.841,44.1116
metrics_minimax_nn_d2_vs_minimax_nn_d4_g22_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,98,draw_3fold_claim,281.1852,1718.5396,5.7385,35.0722
metrics_minimax_nn_d2_vs_minimax_nn_d4_g23_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,0-1,80,checkmate,104.254,1761.913,2.6063,44.0478
metrics_minimax_nn_d2_vs_minimax_nn_d4_g24_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,122,draw_3fold_claim,293.192,2684.4134,4.8064,44.0068
metrics_minimax_nn_d2_vs_minimax_nn_d4_g25_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,71,checkmate,280.578,2758.3872,7.7938,78.8111
metrics_minimax_nn_d2_vs_minimax_nn_d4_g26_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,113,checkmate,190.1202,1940.685,3.3354,34.6551
metrics_minimax_nn_d2_vs_minimax_nn_d4_g27_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,0-1,82,checkmate,128.7188,1427.6352,3.1395,34.8204
metrics_minimax_nn_d2_vs_minimax_nn_d4_g28_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,59,checkmate,107.3157,1164.7397,3.5772,40.1634
metrics_minimax_nn_d2_vs_minimax_nn_d4_g29_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,94,draw_3fold_claim,121.3816,1540.5781,2.5826,32.7783
metrics_minimax_nn_d2_vs_minimax_nn_d4_g2_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,0-1,82,checkmate,121.9628,1344.3566,2.9747,32.7892
metrics_minimax_nn_d2_vs_minimax_nn_d4_g30_swap.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,136,draw_3fold_claim,296.7296,3104.5369,4.3637,45.655
metrics_minimax_nn_d2_vs_minimax_nn_d4_g3_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,59,checkmate,101.085,1087.6438,3.3695,37.505
metrics_minimax_nn_d2_vs_minimax_nn_d4_g4_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,94,draw_3fold_claim,117.3375,1485.5302,2.4965,31.607
metrics_minimax_nn_d2_vs_minimax_nn_d4_g5_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,136,draw_3fold_claim,296.344,3120.7395,4.358,45.8932
metrics_minimax_nn_d2_vs_minimax_nn_d4_g6_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,0-1,64,checkmate,98.6575,2392.2015,3.083,74.7563
metrics_minimax_nn_d2_vs_minimax_nn_d4_g7_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1-0,151,checkmate,257.0751,2289.3752,3.3826,30.525
metrics_minimax_nn_d2_vs_minimax_nn_d4_g8_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,1/2-1/2,119,draw_insufficient,281.8929,3303.0509,4.6982,55.9839
metrics_minimax_nn_d2_vs_minimax_nn_d4_g9_orig.jsonl,minimax_nn_d2_vs_minimax_nn_d4,0-1,80,checkmate,114.5803,2108.3945,2.8645,52.7099
metrics_minimax_nn_d3_vs_minimax_nn_d4_g10_orig.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,102,checkmate,456.1697,1810.8301,8.9445,35.5065
metrics_minimax_nn_d3_vs_minimax_nn_d4_g11_orig.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,78,checkmate,228.2325,1483.5873,5.8521,38.0407
metrics_minimax_nn_d3_vs_minimax_nn_d4_g12_orig.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,76,checkmate,351.6725,4039.6013,9.2545,106.3053
metrics_minimax_nn_d3_vs_minimax_nn_d4_g13_orig.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,74,checkmate,317.5278,1590.9571,8.5818,42.9988
metrics_minimax_nn_d3_vs_minimax_nn_d4_g14_orig.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,142,checkmate,484.1172,1856.4493,6.8186,26.1472
metrics_minimax_nn_d3_vs_minimax_nn_d4_g15_orig.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,90,checkmate,309.0941,975.8726,6.8688,21.6861
metrics_minimax_nn_d3_vs_minimax_nn_d4_g16_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,88,checkmate,447.8856,1462.8721,10.1792,33.2471
metrics_minimax_nn_d3_vs_minimax_nn_d4_g17_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,1/2-1/2,117,draw_insufficient,629.9171,1766.515,10.6766,30.4572
metrics_minimax_nn_d3_vs_minimax_nn_d4_g18_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,78,checkmate,283.0356,1111.8359,7.2573,28.5086
metrics_minimax_nn_d3_vs_minimax_nn_d4_g19_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,72,checkmate,424.5607,1838.1186,11.7934,51.0588
metrics_minimax_nn_d3_vs_minimax_nn_d4_g1_orig.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,134,checkmate,707.5627,3159.9056,10.5606,47.1628
metrics_minimax_nn_d3_vs_minimax_nn_d4_g20_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,102,checkmate,544.1349,3257.3295,10.6693,63.8692
metrics_minimax_nn_d3_vs_minimax_nn_d4_g21_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,106,checkmate,549.9124,2530.1905,10.3757,47.7394
metrics_minimax_nn_d3_vs_minimax_nn_d4_g22_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,116,checkmate,413.0348,1759.0851,7.1213,30.3291
metrics_minimax_nn_d3_vs_minimax_nn_d4_g23_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,76,checkmate,450.9787,1811.3282,11.8679,47.6665
metrics_minimax_nn_d3_vs_minimax_nn_d4_g24_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,62,checkmate,314.2516,1873.6775,10.1371,60.4412
metrics_minimax_nn_d3_vs_minimax_nn_d4_g25_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,1/2-1/2,18,draw_3fold_claim,166.2747,512.3972,18.475,56.933
metrics_minimax_nn_d3_vs_minimax_nn_d4_g26_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,0-1,134,checkmate,741.437,3308.6226,11.0662,49.3824
metrics_minimax_nn_d3_vs_minimax_nn_d4_g27_swap.jsonl,minimax_nn_d3_vs_minimax_nn_d4,1/2-1/2,122,draw_3fold_claim,679.8729,2123.8947,11.1455,34.8179
