Result: White wins by checkmate

1: g1f3
2: g7g6
3: d1b3
4: d5b3
5: a2b3
6: c5d4
7: f3d4
8: f8g7
9: d4b5
10: b8a6
11: g2g3
12: e8g8
13: f1g2
14: a6c5
15: c1e3
16: c5b3
17: a1a3
18: f6e8
19: a3b3
20: e7e5
21: b1d2
22: h7h5
23: b5a7
24: c8e6
25: c3c4
26: e8d6
27: b3b4
28: d6f5
29: e3c5
30: e5e4
31: d2e4
32: f5d4
33: c5d4
34: g7d4
35: a7b5
36: d4g7
37: e1g1
38: h5h4
39: b5c7
40: a8c8
41: c7e6
42: f7e6
43: g3h4
44: c8c7
45: f1d1
46: c7f7
47: c4c5
48: g7h6
49: b4b6
50: g8g7
51: b6e6
52: f7f5
53: g2h3
54: f5h5
55: h3g4
56: h5h4
57: h2h3
58: f8f7
59: e4d6
60: f7f4
61: e6e4
62: h6g5
63: g1g2
64: h4h7
65: d1d5
66: f4e4
67: d6e4
68: g5c1
69: d5d7
70: g7h6
71: d7h7
72: h6h7
73: b2b4
74: c1f4
75: b4b5
76: h7g7
77: g4c8
78: g7f8
79: b5b6
80: f4e5
81: c8b7
82: e5d4
83: g2g3
84: f8e7
85: b7d5
86: d4e5
87: f2f4
88: e5b8
89: d5b7
90: e7e8
91: c5c6
92: e8d8
93: g3g4
94: d8e7
95: c6c7
96: b8c7
97: b6c7
98: e7d7
99: c7c8q
100: d7e7
101: g4g5
102: e7f7
103: e4f6
104: f7e7
105: c8e8
106: e7d6
107: e8e5
