Result: White wins by checkmate

1: d1g4
2: h7h5
3: g4g3
4: c7c5
5: c1g5
6: d8g5
7: g3g5
8: a7a6
9: g1f3
10: b8c6
11: c3e2
12: h5h4
13: c2c3
14: g7g6
15: g5d2
16: b7b5
17: d2c1
18: c8b7
19: c1b1
20: c5d4
21: c3d4
22: e8c8
23: a2a3
24: f8h6
25: b2b4
26: f7f6
27: a1a2
28: g6g5
29: e2c1
30: g5g4
31: f3h4
32: c6d4
33: h4g6
34: d7e5
35: g6h8
36: d8h8
37: a3a4
38: d4f3
39: g2f3
40: e5f3
41: e1d1
42: c8b8
43: b1g6
44: h6g5
45: g6g7
46: h8c8
47: c1d3
48: c8c7
49: g7f8
50: b8a7
51: a4b5
52: c7c8
53: f8g7
54: g5f4
55: b5a6
56: c8c7
57: a6b7
58: a7b7
59: d3c5
60: b7b8
61: g7f8
62: c7c8
63: a2a8
64: b8a8
65: f8c8
66: a8a7
67: c8b7
