Result: Black wins by checkmate

1: g1f3
2: e8g8
3: e2e3
4: h7h6
5: g5f4
6: c7c5
7: d4c5
8: e7c5
9: d1c2
10: b8c6
11: a1d1
12: d8b6
13: a2a3
14: d5d4
15: e3d4
16: c6d4
17: f3d4
18: c5d4
19: c3b5
20: e6e5
21: f4c1
22: c8d7
23: b5d4
24: e5d4
25: f1e2
26: f8e8
27: e1g1
28: d7a4
29: c2a4
30: e8e2
31: b2b4
32: b6e6
33: d1d4
34: b7b6
35: c1e3
36: e2e3
37: g1h1
38: e3e1
39: d4d1
40: e1e4
41: c4c5
42: e6c8
43: f2f3
44: e4e6
45: d1c1
46: e6c6
47: c1c4
48: c8b7
49: a4c2
50: b7e7
51: c2a4
52: a8c8
53: f1c1
54: c6e6
55: h2h3
56: f6h5
57: a4c2
58: h5g3
59: h1h2
60: g3e2
61: c1f1
62: e7c7
63: f3f4
64: c8e8
65: c2d2
66: b6b5
67: c4c2
68: e8d8
69: d2e2
70: e6e2
71: c2e2
72: g7g5
73: e2f2
74: d8d4
75: c5c6
76: d4f4
77: f2f4
78: g5f4
79: f1c1
80: f4f3
81: h2g1
82: c7d8
83: c1e1
84: d8b6
85: g1h2
86: b6c7
87: h2h1
88: c7c6
89: e1g1
90: g8f8
91: g2f3
92: c6f3
93: h1h2
94: f3f2
95: g1g2
96: f2f4
97: h2g1
98: f4c1
99: g1h2
100: c1a3
101: g2e2
102: f7f6
103: e2f2
104: f8f7
105: f2c2
106: a3b4
107: c2g2
108: b4f4
109: h2h1
110: f4f1
111: h1h2
112: f1g2
113: h2g2
114: b5b4
115: g2h2
116: f7g6
117: h2g3
118: b4b3
119: g3g4
120: f6f5
121: g4f4
122: b3b2
123: f4e3
124: b2b1q
125: e3f2
126: b1e4
127: f2g3
128: g6h5
129: g3f2
130: h5h4
131: f2f1
132: h4g3
133: h3h4
134: e4e3
135: h4h5
136: e3f2
