Result: Draw by threefold repetition

1: e2e4
2: f6d7
3: f3g5
4: b7b5
5: a2a4
6: e7e6
7: a4b5
8: d7b6
9: h2h4
10: h7h6
11: g5e6
12: c8e6
13: b5c6
14: d8d4
15: d1d4
16: b8c6
17: d4b6
18: a7b6
19: a1a8
20: e8d7
21: f2f4
22: f7f5
23: e4f5
24: e6f5
25: f1c4
26: c6b4
27: c3d5
28: d7c6
29: d5e3
30: f5c8
31: a8a4
32: b6b5
33: a4a8
34: c6b7
35: a8c8
36: b7c8
37: c4b5
38: c8b7
39: c1d2
40: b7b6
41: b5c4
42: f8c5
43: h1h3
44: h8d8
45: e1e2
46: d8d4
47: h3f3
48: d4e4
49: g2g3
50: b6b7
51: d2b4
52: e4e3
53: f3e3
54: c5b4
55: e3b3
56: b7c6
57: b3b4
58: g7g6
59: c4d3
60: c6c5
61: b4c4
62: c5d5
63: e2e3
64: d5d6
65: c4d4
66: d6e7
67: d3g6
68: e7f6
69: d4d6
70: f6e7
71: d6a6
72: e7d7
73: g6f5
74: d7c7
75: g3g4
76: c7b7
77: a6g6
78: b7c7
79: g6a6
80: c7b7
81: a6g6
82: b7c7
