Result: Black wins by checkmate

1: c1g5
2: a7a6
3: e2e4
4: b8d7
5: f1d3
6: c7c5
7: g1e2
8: c5d4
9: c3a4
10: b7b5
11: c4b5
12: a6b5
13: e4e5
14: d6e5
15: d3b5
16: d8a5
17: a4c3
18: a5b6
19: d1d2
20: e8g8
21: a2a4
22: d4c3
23: e2c3
24: b6e6
25: a1d1
26: e5e4
27: e1g1
28: c8a6
29: b5d7
30: f6d7
31: f1e1
32: d7e5
33: e1e4
34: h7h5
35: d2e3
36: a6b7
37: e4b4
38: b7c6
39: g5h6
40: g7h6
41: e3e2
42: a8a5
43: f3f4
44: e6g4
45: h2h3
46: g4e2
47: c3e2
48: a5a4
49: b4d4
50: a4d4
51: d1d4
52: e5d7
53: g2g4
54: g6g5
55: d4d2
56: d7b8
57: e2g3
58: g5f4
59: g3f5
60: e7e6
61: f5h6
62: g8h7
63: h6f7
64: f8f7
65: d2e2
66: c6d5
67: e2e5
68: h5g4
69: h3g4
70: h7g6
71: g1f2
72: b8d7
73: e5e1
74: d7f6
75: b2b4
76: f6g4
77: f2e2
78: f4f3
79: e2d3
80: f3f2
81: e1a1
82: f2f1q
83: a1f1
84: f7f1
85: d3c3
86: e6e5
87: b4b5
88: e5e4
89: b5b6
90: e4e3
91: c3c2
92: e3e2
93: c2d3
94: f1d1
95: d3e2
96: d1d4
97: b6b7
98: d5b7
99: e2f1
100: b7f3
101: f1g1
102: d4d1
