Result: Black wins by checkmate

1: a2a3
2: b4c3
3: b2c3
4: b7b6
5: g1e2
6: c8a6
7: e2g1
8: c7c5
9: d4d5
10: f8e8
11: f2f3
12: a6b7
13: d5d6
14: b8c6
15: f1e2
16: e6e5
17: e3e4
18: e8e6
19: g1h3
20: f6e8
21: c1g5
22: f7f6
23: g5h4
24: e8d6
25: e1g1
26: c6a5
27: d1c2
28: d8f8
29: h3f2
30: f8f7
31: c2a2
32: b7a6
33: a1d1
34: a8f8
35: a3a4
36: a6c4
37: a2b2
38: c4b3
39: d1a1
40: d6c4
41: b2c1
42: g8h8
43: e2d3
44: e6d6
45: h2h3
46: f7g6
47: g1h2
48: h7h5
49: f3f4
50: g6h6
51: f4f5
52: h6c1
53: f1c1
54: c4b2
55: d3a6
56: b3c4
57: c1c2
58: c4a6
59: a1a2
60: b2d3
61: g2g4
62: h5g4
63: f2g4
64: a5c4
65: c2g2
66: d3f4
67: g2c2
68: a6b7
69: g4f2
70: b7c6
71: a2a1
72: c4d2
73: a4a5
74: f4h5
75: c2d2
76: d6d2
77: a5b6
78: a7b6
79: a1e1
80: b6b5
81: h2g2
82: d2c2
83: e1e3
84: h8g8
85: g2f3
86: f8a8
87: f3g4
88: h5f4
89: e3f3
90: d7d5
91: f3f4
92: e5f4
93: e4d5
94: c6d5
95: c3c4
96: c2c4
97: h4f6
98: f4f3
99: f6d4
100: c4d4
101: g4g3
102: a8a1
103: h3h4
104: a1g1
105: g3h3
106: d5e4
107: f2e4
108: d4e4
109: f5f6
110: g7f6
111: h3h2
112: e4g4
113: h4h5
114: g4g2
115: h2h3
116: g1h1
