Result: Black wins by checkmate

1: g1f3
2: e8g8
3: d1d3
4: b7b6
5: c1f4
6: c8a6
7: b2b3
8: b8d7
9: f3e5
10: d7e5
11: d4e5
12: e7b4
13: f4d2
14: b4d2
15: d3d2
16: f6d7
17: f2f4
18: c7c6
19: b1a3
20: f7f6
21: a1d1
22: d8e7
23: a3c2
24: a6b7
25: c4d5
26: e6d5
27: e5f6
28: d7f6
29: d2b4
30: c6c5
31: b4d2
32: f6e4
33: d2c1
34: d5d4
35: c2a3
36: e4c3
37: e1g1
38: c3e2
39: g1f2
40: e2c1
41: g2b7
42: e7b7
43: d1c1
44: d4d3
45: f1d1
46: b7e4
47: a3c4
48: f8f4
49: g3f4
50: a8f8
51: f2g1
52: f8f4
53: c4e5
54: e4e3
55: g1g2
56: e3f2
57: g2h1
58: f4h4
59: e5g4
60: f2f3
61: h1g1
62: h4g4
