Result: Draw by threefold repetition

1: d4b3
2: c5b4
3: c2c3
4: b4e7
5: b3d4
6: c6d4
7: c3d4
8: d7d5
9: e4d5
10: e7b4
11: b1c3
12: b4c3
13: b2c3
14: d8d5
15: c3c4
16: d5e4
17: d1e2
18: e4e2
19: e1e2
20: h7h5
21: c1f4
22: c7c6
23: a2a4
24: c8e6
25: e2d2
26: e8c8
27: f4e3
28: a7a5
29: f2f3
30: e6f5
31: f1e2
32: g8e7
33: h1e1
34: e7g6
35: e2f1
36: f7f6
37: d2c3
38: h5h4
39: e1d1
40: h8e8
41: e3g1
42: e8e7
43: d1d2
44: g6f8
45: g1f2
46: g7g5
47: a1a3
48: e7d7
49: d2d1
50: f8e6
51: d1d2
52: c6c5
53: d4d5
54: e6d4
55: f2d4
56: c5d4
57: c3d4
58: d7e7
59: a3b3
60: e7e1
61: f1d3
62: f5d3
63: d2d3
64: h4h3
65: g2h3
66: e1a1
67: b3a3
68: a1h1
69: d3e3
70: h1h2
71: a3b3
72: h2d2
73: d4c3
74: d2f2
75: c3d4
76: f2d2
77: d4c3
78: d2f2
79: b3b6
80: f2d2
