Result: Draw by threefold repetition

1: d2d3
2: e4f6
3: d3d4
4: d6d5
5: f1b5
6: c7c6
7: b5d3
8: d8e7
9: c1e3
10: f6g4
11: d1e2
12: g4e3
13: e2e3
14: e7e3
15: f2e3
16: g7g6
17: e1f2
18: b8d7
19: c2c4
20: d5c4
21: d3e2
22: d7f6
23: f3e5
24: f6e4
25: f2f3
26: f7f5
27: b1c3
28: e4d2
29: f3f2
30: f8d6
31: f2e1
32: d2e4
33: c3e4
34: f5e4
35: e5c4
36: d6c7
37: c4d2
38: e8g8
39: h1f1
40: f8e8
41: h2h3
42: c7g3
43: f1f2
44: h7h5
45: d2f1
46: g3f2
47: e1f2
48: a7a5
49: h3h4
50: e8f8
51: f2g3
52: c8e6
53: f1d2
54: e6d5
55: d2c4
56: d5c4
57: e2c4
58: g8h8
59: a2a4
60: f8f6
61: a1b1
62: b7b6
63: c4f1
64: h8h7
65: g3h2
66: c6c5
67: d4c5
68: b6c5
69: b1c1
70: f6f2
71: f1b5
72: f2b2
73: h2g1
74: b2b3
75: b5d7
76: a8a7
77: d7b5
78: a7c7
79: g1f2
80: c7f7
81: f2g1
82: f7c7
83: g1f2
84: c7f7
85: f2g1
