Result: Black wins by checkmate

1: c1e3
2: a7a6
3: f1e2
4: d8a5
5: b2b4
6: a5b4
7: c2c3
8: b4b2
9: e1g1
10: f8h6
11: b1d2
12: b7b5
13: a1b1
14: b2a3
15: d2b3
16: a3a4
17: d4c2
18: h6e3
19: d1d5
20: a8a7
21: e4e5
22: e3f4
23: c3c4
24: f4e5
25: d5d2
26: b5c4
27: b3d4
28: b8c6
29: b1b6
30: c6d4
31: b6b8
32: d4e2
33: g1h1
34: e2g3
35: h2g3
36: a7b7
37: b8c8
38: e8d7
39: c8c5
40: b7b5
41: f2f4
42: b5c5
43: f1e1
44: a4a5
45: d2f2
46: e5c3
47: e1b1
48: c5c7
49: h1g1
50: g8f6
51: a2a4
52: f6g4
53: f2b6
54: e7e6
55: b6a5
56: c3a5
57: c2a3
58: d7e7
59: a3c2
60: c4c3
61: b1c1
62: a5b6
63: g1f1
64: h8d8
65: c1a1
66: b6c5
67: f1e2
68: h7h5
69: e2f3
70: d6d5
71: f3e2
72: d5d4
73: a1d1
74: d4d3
75: d1d3
76: c7d7
77: c2e1
78: c5a7
79: a4a5
80: d7d6
81: d3d6
82: d8d6
83: e1d3
84: g4h2
85: e2d1
86: d6d3
87: d1c2
88: d3g3
89: f4f5
90: a7d4
91: f5f6
92: e7d6
93: c2b3
94: g3g2
95: b3c4
96: c3c2
97: c4d4
98: g2g3
99: d4c4
100: c2c1q
101: c4d4
102: c1f4
