Result: Draw by threefold repetition

1: c1d2
2: a5b6
3: g1f3
4: a7a5
5: f1c4
6: a5a4
7: b2b3
8: a4b3
9: a2b3
10: a8a1
11: d1a1
12: g7g6
13: a1a4
14: c7c6
15: a4a8
16: b6c7
17: e1g1
18: b7b5
19: c4e2
20: f6d7
21: a8a2
22: c7b7
23: f1a1
24: f8g7
25: e2d3
26: e8g8
27: h2h4
28: d7f6
29: c3e4
30: f6e4
31: d3e4
32: c8g4
33: d2e3
34: b7c8
35: c2c3
36: h7h6
37: a2d2
38: c8e6
39: e4c2
40: g4f3
41: g2f3
42: e6h3
43: e3h6
44: g7h6
45: d2h6
46: h3f3
47: h6e3
48: f3f6
49: h4h5
50: g6h5
51: a1a7
52: f8d8
53: a7e7
54: b8d7
55: e7d7
56: d8d7
57: e3e8
58: g8g7
59: e8d7
60: f6g5
61: g1h2
62: g5f4
63: h2g2
64: f4g5
65: g2h2
66: g5h4
67: d7h3
68: h4g5
