Result: Black wins by checkmate

1: e2e4
2: f6d7
3: f1c4
4: e7e6
5: e1g1
6: b7b5
7: c4b3
8: b5b4
9: c3d5
10: e6d5
11: e4d5
12: d7f6
13: d5c6
14: d8c7
15: f1e1
16: f8e7
17: c1f4
18: c7f4
19: a1c1
20: f4c7
21: h2h3
22: e8g8
23: d1e2
24: e7d6
25: e2c2
26: d6f4
27: d4d5
28: b8a6
29: c1d1
30: f4d6
31: f3d4
32: a8b8
33: d4f5
34: c8f5
35: c2f5
36: a6c5
37: g2g4
38: f6e4
39: f5f3
40: c7e7
41: f3g2
42: f7f5
43: f2f3
44: b8e8
45: g4f5
46: e7h4
47: f3e4
48: e8e4
49: e1e2
50: e4e2
51: g2e2
52: f8f5
53: e2e8
54: f5f8
55: e8e2
56: h4g3
57: e2g2
58: g3e3
59: g1h1
60: c5e4
61: b3c4
62: e4g3
63: h1h2
64: f8f3
65: g2f3
66: e3f3
67: h2g1
68: d6c5
69: d1d4
70: c5d4
71: g1h2
72: f3f2
