Result: White wins by checkmate

1: f1e2
2: e8g8
3: c1e3
4: f8e8
5: g1f3
6: a7a5
7: e1g1
8: e7e5
9: d1c2
10: c8g4
11: h2h3
12: g4f3
13: e2f3
14: f6g4
15: e3d2
16: g4f6
17: d4d5
18: b8d7
19: a2a3
20: h7h5
21: d2g5
22: g8h7
23: c2c1
24: d7c5
25: c1c2
26: a5a4
27: a1e1
28: g7h6
29: g5d2
30: f6d7
31: d2h6
32: h7h6
33: f3d1
34: c7c6
35: c2d2
36: h6g7
37: d5c6
38: b7c6
39: d1f3
40: d7b6
41: d2c2
42: d8f6
43: c3a2
44: c5e6
45: f3d1
46: e6d4
47: c2c3
48: b6d7
49: g1h1
50: d7c5
51: h1h2
52: h5h4
53: a2b4
54: f6f4
55: g2g3
56: f4h6
57: f2f4
58: h4g3
59: c3g3
60: f7f6
61: b4d3
62: c5d3
63: g3d3
64: h6h4
65: f4e5
66: d6e5
67: d3e3
68: d4e6
69: d1g4
70: e6f4
71: b2b4
72: a4b3
73: e1d1
74: e8d8
75: e3b3
76: a8b8
77: b3e3
78: b8b2
79: h2h1
80: d8d1
81: f1d1
82: h4f2
83: e3f2
84: b2f2
85: d1a1
86: g7h6
87: a3a4
88: f2b2
89: a4a5
90: h6g5
91: a5a6
92: g5h4
93: a6a7
94: f4h3
95: g4h3
96: h4h3
97: a7a8q
98: b2h2
99: h1g1
100: h2g2
101: g1f1
102: g2g3
103: a8h8
104: h3g4
105: f1f2
106: g3f3
107: f2e2
108: f3g3
109: h8f6
110: g3g2
111: e2e3
112: g2g3
113: e3f2
114: g3f3
115: f6f3
116: g4g5
117: a1g1
118: g5h6
119: f3f8
120: h6h7
121: g1h1
