Result: White wins by checkmate

1: a2a3
2: b4c3
3: b2c3
4: b7b6
5: g1e2
6: c8a6
7: e2g3
8: d7d5
9: c4d5
10: a6f1
11: e1f1
12: d8d5
13: d1e2
14: d5b3
15: e2d3
16: b3a4
17: h2h3
18: b8d7
19: d3e2
20: c7c5
21: e2e1
22: a8c8
23: c1d2
24: a4b5
25: f1g1
26: b5d3
27: a1d1
28: d3a6
29: e3e4
30: c5d4
31: c3d4
32: e6e5
33: d2b4
34: f8e8
35: g3f5
36: c8c4
37: f2f3
38: b6b5
39: f5d6
40: a6b6
41: d6e8
42: b6e6
43: e8d6
44: c4d4
45: d6f5
46: h7h6
47: f5d4
48: e5d4
49: e1d2
50: d7e5
51: d2d4
52: e5c4
53: d4d8
54: g8h7
55: d8d6
56: f6h5
57: d6e6
58: f7e6
59: g1f2
60: e6e5
61: g2g3
62: a7a5
63: b4f8
64: b5b4
65: a3b4
66: a5b4
67: d1b1
68: h5g3
69: f2g3
70: b4b3
71: h1c1
72: c4d2
73: b1b2
74: h7g8
75: f8g7
76: g8g7
77: c1c7
78: g7f6
79: b2d2
80: b3b2
81: d2d6
82: f6g5
83: c7f7
84: b2b1q
85: f7f5
