Result: Black wins by checkmate

1: h2h3
2: d8e7
3: f1e2
4: e4f6
5: c2c4
6: g7g6
7: e1g1
8: a7a6
9: d2d4
10: f8g7
11: b1c3
12: e8g8
13: c1f4
14: b7b6
15: f1e1
16: e7d8
17: d1d2
18: b8d7
19: f4g5
20: c8b7
21: a1c1
22: d8c8
23: b2b3
24: a8b8
25: c1d1
26: b8a8
27: d4d5
28: f8d8
29: f3d4
30: d8f8
31: g2g4
32: f8e8
33: g5e3
34: f6e4
35: c3e4
36: e8e7
37: e4g3
38: e7e3
39: d2e3
40: a6a5
41: e2f1
42: a5a4
43: b3b4
44: a4a3
45: f1g2
46: c8d8
47: g1h1
48: d7e5
49: d4c6
50: b7c6
51: d1d4
52: c6a4
53: f2f4
54: e5g4
55: h3g4
56: g7d4
57: g4g5
58: d4e3
59: e1e3
60: f7f5
61: h1h2
62: a4d7
63: g3e2
64: a8a4
65: e2d4
66: g8f8
67: e3h3
68: d8e8
69: d4c6
70: f8g7
71: h3c3
72: e8e2
73: c4c5
74: d7c6
75: d5c6
76: d6c5
77: c3h3
78: a4b4
79: h3b3
80: b4b3
81: a2b3
82: a3a2
83: h2h1
84: a2a1q
85: h1h2
86: e2e3
87: g2f3
88: e3f3
89: b3b4
90: a1h1
