Result: White wins by checkmate

1: f2f4
2: c7c5
3: g1f3
4: b8c6
5: c3e2
6: c5d4
7: e2d4
8: c6d4
9: f3d4
10: a7a5
11: f1b5
12: d8b6
13: a2a4
14: f8c5
15: c2c3
16: e8g8
17: e1g1
18: d7b8
19: g1h1
20: c5d4
21: c3d4
22: c8d7
23: b5d3
24: b8c6
25: f1f3
26: f7f5
27: d3e2
28: a8b8
29: c1e3
30: c6e7
31: e3f2
32: b6a7
33: f3b3
34: d7e8
35: d1d2
36: b8c8
37: h2h3
38: e7g6
39: b3a3
40: h7h6
41: b2b4
42: b7b6
43: f2e3
44: e8f7
45: a3b3
46: c8b8
47: b4a5
48: b6a5
49: b3b5
50: b8a8
51: d2b2
52: f8b8
53: a1b1
54: b8b5
55: a4b5
56: a7b7
57: b5b6
58: f7e8
59: b2c3
60: a5a4
61: e3c1
62: a8b8
63: c3c7
64: b7c7
65: b6c7
66: b8b1
67: c7c8q
68: g6f4
69: e2d1
70: a4a3
71: c8e8
72: g8h7
73: d1b3
74: b1c1
75: h1h2
76: c1a1
77: e8a4
78: f4e2
79: g2g4
80: h6h5
81: g4f5
82: e6f5
83: e5e6
84: e2f4
85: e6e7
86: a1e1
87: e7e8q
88: e1e8
89: a4e8
90: a3a2
91: b3a2
92: g7g6
93: e8f7
94: h7h6
95: h3h4
96: g6g5
97: f7f5
98: g5h4
99: f5f4
100: h6g7
101: a2d5
102: h4h3
103: f4g5
104: g7h7
105: h2h3
106: h5h4
107: h3h4
108: h7h8
109: g5g8
