Result: White wins by checkmate

1: e2e4
2: f6d7
3: f1c4
4: e7e6
5: e4e5
6: d7b6
7: c4b3
8: b8a6
9: f3g5
10: h7h6
11: g5e4
12: d8d7
13: a2a4
14: b6d5
15: e1g1
16: a6b4
17: d1g4
18: h6h5
19: g4g3
20: h5h4
21: g3f3
22: h4h3
23: f1e1
24: b7b6
25: f3g3
26: c8a6
27: c1g5
28: b4d3
29: e1d1
30: d3b4
31: a4a5
32: d7b7
33: a1c1
34: b7d7
35: c1a1
36: h3g2
37: a5b6
38: a7b6
39: d1e1
40: a8a7
41: g5d2
42: e8d8
43: e4d6
44: d8c7
45: a1a4
46: b6b5
47: a4b4
48: f7f5
49: b3d5
50: g7g5
51: d5c6
52: f8d6
53: c6d7
54: d6b4
55: c3d5
56: c7d7
57: d2b4
58: g5g4
59: g3c3
60: h8c8
61: d5f6
62: d7d8
63: b4c5
64: c8c6
65: d4d5
66: e6d5
67: e5e6
68: a7e7
69: c5e7
70: d8c7
71: e7d6
72: c7b7
73: e6e7
74: c6c3
75: b2c3
76: g4g3
77: h2g3
78: b5b4
79: e7e8q
80: a6c4
81: e8b8
82: b7c6
83: d6c7
84: b4c3
85: b8b6
