Result: Draw by threefold repetition

1: g2g4
2: h7h5
3: g4g5
4: f6d7
5: e2e4
6: e8g8
7: c1e3
8: c7c5
9: d4d5
10: b7b5
11: c4b5
12: a7a6
13: a2a4
14: c8b7
15: f1e2
16: a6b5
17: a4b5
18: a8a1
19: d1a1
20: e7e6
21: d5e6
22: d7b6
23: e6f7
24: f8f7
25: g1h3
26: d6d5
27: c3d5
28: b6d5
29: e4d5
30: b8d7
31: a1c1
32: d7e5
33: e1g1
34: d8c8
35: c1c5
36: e5f3
37: e2f3
38: c8h3
39: f3g2
40: f7f1
41: g1f1
42: h3f5
43: f1g1
44: f5b1
45: c5c1
46: b1d3
47: c1d2
48: d3b5
49: d5d6
50: b7g2
51: g1g2
52: b5c6
53: g2g1
54: c6d7
55: d2d5
56: g8h7
57: b2b4
58: d7g4
59: g1f1
60: g4d7
61: f1e2
62: h5h4
63: e3d4
64: g7d4
65: d5d4
66: d7b5
67: e2e1
68: b5e8
69: e1d2
70: e8d7
71: d4h4
72: h7g8
73: h4c4
74: g8f8
75: c4f4
76: f8g8
77: f4c4
78: g8f8
79: c4f4
80: f8g8
