Result: White wins by checkmate

1: f3h4
2: f5g6
3: e2e3
4: g6h5
5: f1e2
6: h5e2
7: d1e2
8: d5c4
9: b3c4
10: e7e6
11: e1g1
12: d8b6
13: d2d4
14: b6a6
15: e3e4
16: b8d7
17: a2a4
18: d7b6
19: b1d2
20: f6d7
21: a4a5
22: b6c8
23: f2f4
24: c6c5
25: d4d5
26: h8g8
27: d5e6
28: d7e5
29: f4e5
30: a6e6
31: h4f5
32: f7f6
33: e2g4
34: e8d8
35: a1d1
36: g7g6
37: g4h4
38: d8c7
39: f5e3
40: f6f5
41: e3d5
42: c7b8
43: h4d8
44: a7a6
45: d5f6
46: b8a7
47: f6g8
48: e6g8
49: e4f5
50: g6f5
51: b2a3
52: a8b8
53: d2e4
54: f5e4
55: f1f8
56: g8e6
57: a3c5
58: a7a8
59: c5d6
60: e6c4
61: d6b8
62: a8b8
63: e5e6
64: c4c5
65: g1h1
66: e4e3
67: e6e7
68: e3e2
69: d8c8
70: c5c8
71: f8c8
72: b8a7
73: d1e1
74: b7b6
75: e7e8q
76: b6a5
77: e8f7
78: a7b6
79: e1b1
