Result: Draw by threefold repetition

1: c2c3
2: d7d6
3: d2d4
4: b7b5
5: a4c2
6: e5d4
7: c3d4
8: c6b4
9: c2b3
10: f6e4
11: a2a3
12: d6d5
13: a3b4
14: c8b7
15: b1d2
16: f7f6
17: e1g1
18: d8d7
19: f3e1
20: f8d6
21: e1d3
22: e8c8
23: d2e4
24: d5e4
25: d3c5
26: d6c5
27: d4c5
28: d7c6
29: d1g4
30: c8b8
31: c1e3
32: d8d3
33: a1a3
34: f6f5
35: g4f5
36: b7c8
37: f5g5
38: d3b3
39: a3b3
40: c8e6
41: b3c3
42: h7h6
43: g5g7
44: h8g8
45: g7h6
46: a6a5
47: e3f4
48: a5b4
49: c3g3
50: g8e8
51: g3g7
52: e8c8
53: g7g6
54: c8e8
55: g6g7
56: e8c8
57: g7g6
58: c8e8
