Result: Draw by threefold repetition

1: e1g1
2: b4c3
3: b2c3
4: e8g8
5: d2d4
6: d7d5
7: b5c6
8: b7c6
9: c1g5
10: d5e4
11: f3e5
12: d8e8
13: g5f6
14: g7f6
15: e5g4
16: e8e6
17: g4e3
18: f6f5
19: f2f4
20: e6f6
21: d1c1
22: c8a6
23: f1d1
24: a6c8
25: c1a3
26: f6h6
27: d1f1
28: f8e8
29: a3a5
30: h6f6
31: a1b1
32: e8e7
33: d4d5
34: h7h6
35: f1d1
36: e7d7
37: c3c4
38: c6d5
39: e3d5
40: f6c6
41: a5b4
42: g8g7
43: b4c3
44: f7f6
45: c3g3
46: g7f7
47: g3h4
48: c8a6
49: h4h5
50: f7f8
51: h5h6
52: f8f7
53: d5e3
54: a8d8
55: d1d7
56: c6d7
57: h6h5
58: f7g7
59: e3f5
60: g7g8
61: h5g6
62: g8h8
63: g6h6
64: h8g8
65: h6g6
66: g8h8
67: g6h6
68: h8g8
