Result: Draw by threefold repetition

1: g1f3
2: c5b6
3: c3a4
4: e8g8
5: e1g1
6: h7h6
7: b2b4
8: c8d7
9: c4b3
10: d7e6
11: c2c4
12: c7c6
13: c4c5
14: b6c7
15: b3e6
16: f7e6
17: c5d6
18: d8d6
19: d1b3
20: b7b6
21: a4b2
22: b6b5
23: a2a4
24: f6h5
25: c1e3
26: b8d7
27: a4b5
28: c6b5
29: e3a7
30: a8c8
31: f1c1
32: h5f4
33: g1f1
34: f8f7
35: a7c5
36: d7c5
37: b4c5
38: d6c6
39: b2d1
40: c8d8
41: f3e1
42: f7d7
43: d1c3
44: b5b4
45: b3b4
46: f4d3
47: e1d3
48: d7d3
49: b4b5
50: c6b5
51: c3b5
52: c7b8
53: c5c6
54: d8c8
55: a1a8
56: d3b3
57: b5d6
58: c8c7
59: d6e8
60: c7c8
61: e8d6
62: c8c7
63: d6e8
64: c7c8
