Result: White wins by checkmate

1: c2c4
2: g8f6
3: b1c3
4: b8c6
5: f1e2
6: c6d4
7: d1d4
8: c8d7
9: d4d3
10: f8e7
11: e1g1
12: e8g8
13: c1f4
14: d7c6
15: b2b4
16: e6e5
17: f4e3
18: c6d7
19: h2h3
20: h7h6
21: a1c1
22: d7e6
23: c3d5
24: e6d5
25: c4d5
26: d8d7
27: a2a4
28: a7a5
29: b4a5
30: e7d8
31: a5a6
32: a8a6
33: d3b1
34: d7e7
35: e2a6
36: b7a6
37: c1c6
38: a6a5
39: c6a6
40: f6e4
41: b1e4
42: f7f5
43: e4c2
44: f5f4
45: e3c1
46: f4f3
47: c1e3
48: f3g2
49: f1b1
50: e7f7
51: a6d6
52: d8g5
53: e3g5
54: h6g5
55: d6b6
56: f7f5
57: c2f5
58: f8f5
59: b6b8
60: g8h7
61: d5d6
62: e5e4
63: d6d7
64: f5d5
65: d7d8q
66: d5d8
67: b8d8
68: g5g4
69: h3g4
70: h7h6
71: g1g2
72: h6g5
73: d8f8
74: g5g4
75: b1g1
76: g4h5
77: g2f1
78: g7g5
79: f8g8
80: e4e3
81: f2e3
82: h5h6
83: g1h1
