Result: Draw by threefold repetition

1: g1f3
2: d6d5
3: c4d5
4: f6d5
5: c3d5
6: c8e6
7: c2c4
8: e8g8
9: d1b3
10: b8c6
11: c1e3
12: b7b6
13: b3b5
14: d8d7
15: b5c6
16: d7c6
17: d5e7
18: g8h8
19: e7c6
20: f8e8
21: f3e5
22: f7f6
23: d4d5
24: e6g8
25: e5f3
26: g6g5
27: e4e5
28: g5g4
29: e5e6
30: g4f3
31: g2f3
32: g8e6
33: d5e6
34: f6f5
35: c6d4
36: c7c5
37: d4f5
38: g7b2
39: a1d1
40: e8e6
41: d1d6
42: e6e5
43: f5g3
44: a8e8
45: d6d2
46: b2c3
47: f3f4
48: e5e7
49: h1g1
50: e8d8
51: g3f1
52: e7g7
53: g1g5
54: c3d2
55: f1d2
56: h7h6
57: g5d5
58: d8d5
59: c4d5
60: g7g1
61: e1e2
62: g1a1
63: f4f5
64: a1a2
65: f5f6
66: h8g8
67: e3h6
68: g8f7
69: h6g5
70: a2a4
71: e2f3
72: a4d4
73: g5f4
74: d4d5
75: d2e4
76: d5d3
77: f4e3
78: a7a5
79: h2h4
80: d3d5
81: e3f4
82: d5d3
83: f4e3
84: d3d5
85: e3f4
86: a5a4
87: e4d6
88: f7f6
89: d6e8
90: f6f5
91: e8g7
92: f5f6
93: g7e8
94: f6f5
95: e8g7
96: f5g6
97: g7e8
