Result: Black wins by checkmate

1: g1f3
2: f6e4
3: c3e4
4: d5e4
5: g5e7
6: e8e7
7: f3g5
8: f7f6
9: g5e4
10: b8c6
11: d4d5
12: c6e5
13: e2e3
14: e6d5
15: c4d5
16: c8f5
17: e4g3
18: f5g6
19: d1b3
20: b7b6
21: f2f4
22: e5d7
23: b3c3
24: d7c5
25: f1c4
26: c5a4
27: c3d4
28: d8d7
29: g3e4
30: c7c5
31: d5c6
32: d7d4
33: e3d4
34: g6e4
35: c6c7
36: a8c8
37: b2b3
38: a4b2
39: a1c1
40: c8c7
41: e1f2
42: b2c4
43: c1c4
44: c7c4
45: b3c4
46: h8d8
47: d4d5
48: e7d6
49: h1e1
50: e4d3
51: e1c1
52: d6c5
53: f2e3
54: d3c4
55: e3f3
56: c5d4
57: d5d6
58: d8d6
59: c1d1
60: d4c5
61: d1d6
62: c5d6
63: a2a3
64: c4d5
65: f3f2
66: d6c5
67: f4f5
68: c5c4
69: a3a4
70: c4b4
71: f2e3
72: d5g2
73: e3f2
74: g2c6
75: f2e3
76: c6a4
77: e3d4
78: a4c2
79: d4d5
80: c2f5
81: d5d4
82: a7a5
83: h2h4
84: a5a4
85: h4h5
86: a4a3
87: h5h6
88: a3a2
89: h6g7
90: a2a1q
91: d4d5
92: b4b5
93: g7g8q
94: a1e5
