Result: White wins by checkmate

1: d1b3
2: d5b6
3: g1f3
4: c8e6
5: b3a3
6: b8c6
7: a3c5
8: d8d6
9: c1g5
10: f8g7
11: e1c1
12: e8c8
13: e2e3
14: c8b8
15: f1d3
16: c6b4
17: c5d6
18: e7d6
19: g5d8
20: h8d8
21: a2a3
22: b4d3
23: d1d3
24: e6c4
25: c1c2
26: c4d3
27: c2d3
28: f7f5
29: f3g5
30: d8e8
31: h1c1
32: h7h6
33: g5f3
34: g7f6
35: c3b5
36: c7c6
37: b5d6
38: e8e7
39: d6c4
40: b6c4
41: d3c4
42: b8c7
43: c4d3
44: c7d6
45: h2h3
46: e7e8
47: a3a4
48: a7a6
49: a4a5
50: d6d5
51: g2g4
52: d5e6
53: b2b4
54: f6e7
55: d3c4
56: f5g4
57: h3g4
58: e8f8
59: f3e5
60: g6g5
61: e5d3
62: f8f7
63: c1h1
64: e7f8
65: e3e4
66: e6d6
67: e4e5
68: d6e6
69: d3c5
70: f8c5
71: h1h6
72: e6e7
73: h6h8
74: c5b4
75: c4b4
76: f7f2
77: h8h7
78: f2f7
79: h7f7
80: e7f7
81: b4c5
82: f7e6
83: c5c4
84: e6f7
85: d4d5
86: c6d5
87: c4d5
88: f7g7
89: e5e6
90: g7f8
91: d5d6
92: f8e8
93: e6e7
94: b7b6
95: a5b6
96: e8f7
97: b6b7
98: a6a5
99: b7b8q
100: f7g7
101: b8f8
102: g7h7
103: e7e8q
104: a5a4
105: f8h8
