Result: Black wins by checkmate

1: d2d3
2: e7e6
3: f3d4
4: f8b4
5: b1c3
6: d8a5
7: d1d2
8: a5c5
9: d2f4
10: g7g5
11: f4e5
12: b4c3
13: b2c3
14: b8d7
15: e5c7
16: c5b6
17: c7d6
18: c6c5
19: d6b6
20: a7b6
21: d4f5
22: e6f5
23: c4d5
24: e8g8
25: c3d2
26: f5f4
27: h2h4
28: f6d5
29: a2a4
30: g5g4
31: f2f3
32: g4g3
33: a1c1
34: b6b5
35: a4a5
36: b5b4
37: c1c4
38: f8e8
39: c4e4
40: e8e6
41: e4e6
42: f7e6
43: d3d4
44: a8a5
45: e1d1
46: a5a2
47: d4c5
48: d7c5
49: h4h5
50: c5b3
51: d2f4
52: d5c3
53: d1e1
54: a2a1
55: f4c1
56: a1c1
